Word1,Word2,Alpha,Nonalpha,OverallFreq,Word1_freq,Word2_freq,Weird?,Form,Percept,Culture,Power,Intense,Icon,Freq,Len,Lapse,*BStress,RelFreq,GenPref,Attested,Judgements,Alpha_Proportion
kiwis,wolverines,kiwis and wolverines,wolverines and kiwis,0,1308423.0,1749798.0,no,0,0,0,-1,-1,0,-0.290677758,1,-1,-1,0.0,,0,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",0.9
kiwis,narwhals,kiwis and narwhals,narwhals and kiwis,0,1308423.0,86641.0,no,0,1,0,-1,-1,0,2.71480473,0,-1,-1,0.0,,0,"[0, 1, 1, 1, 1, 1, 0, 0, 1, 1]",0.7
kiwis,ocelots,kiwis and ocelots,ocelots and kiwis,0,1308423.0,84729.0,no,0,0,0,-1,0,0,2.737119946,0,-1,-1,0.0,,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
ibex,kiwis,ibex and kiwis,kiwis and ibex,0,405760.0,1308423.0,no,0,0,0,1,0,0,-1.170816022,0,1,0,0.0,,0,"[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",0.2
harpies,kiwis,harpies and kiwis,kiwis and harpies,0,186488.0,1308423.0,no,0,-1,0,1,1,0,-1.94821098,0,0,0,0.0,,0,"[1, 1, 1, 0, 1, 0, 0, 1, 1, 0]",0.6
axolotls,wolverines,axolotls and wolverines,wolverines and axolotls,0,118861.0,1749798.0,no,0,-1,0,-1,0,0,-2.689300889,-1,-1,-1,0.0,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
axolotls,ibex,axolotls and ibex,ibex and axolotls,0,118861.0,405760.0,no,0,-1,0,-1,0,0,-1.227807109,-2,-1,0,0.0,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
axolotls,harpies,axolotls and harpies,harpies and axolotls,0,118861.0,186488.0,no,0,1,0,-1,-1,0,-0.450412151,-2,0,0,0.0,,0,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.1
axolotls,keas,axolotls and keas,keas and axolotls,0,118861.0,41506.0,no,0,0,1,-1,0,0,1.052116748,-3,-1,1,0.0,,0,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0.1
axolotls,bonobos,axolotls and bonobos,bonobos and axolotls,0,118861.0,290761.0,no,0,-1,0,-1,0,0,-0.894546881,-1,0,0,0.0,,0,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0]",0.2
axolotls,wombats,axolotls and wombats,wombats and axolotls,0,118861.0,228721.0,no,0,-1,0,-1,0,0,-0.654548177,-2,-1,-1,0.0,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
axolotls,lions,axolotls and lions,lions and axolotls,0,118861.0,19766321.0,no,0,-1,-1,-1,-1,0,-5.113780066,-2,0,0,0.0,,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
ocelots,platypuses,ocelots and platypuses,platypuses and ocelots,0,84729.0,43558.0,no,0,1,-1,1,0,0,0.665364545,1,3,1,0.0,,0,"[1, 1, 0, 1, 1, 1, 1, 1, 1, 1]",0.9
ibex,platypuses,ibex and platypuses,platypuses and ibex,0,405760.0,43558.0,no,0,1,0,1,0,0,2.231668468,2,3,1,0.0,,0,"[1, 1, 1, 1, 1, 0, 1, 1, 0, 1]",0.8
harpies,platypuses,harpies and platypuses,platypuses and harpies,0,186488.0,43558.0,no,0,0,0,1,1,0,1.454273511,2,2,0,0.0,,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
keas,platypuses,keas and platypuses,platypuses and keas,0,41506.0,43558.0,no,0,0,-1,0,0,0,-0.048255388,3,3,1,0.0,,0,"[1, 0, 1, 1, 1, 1, 1, 1, 1, 0]",0.8
bonobos,platypuses,bonobos and platypuses,platypuses and bonobos,0,290761.0,43558.0,no,0,1,0,1,0,0,1.898408241,1,2,0,0.0,,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
harpies,wolverines,harpies and wolverines,wolverines and harpies,0,186488.0,1749798.0,no,0,-1,0,0,0,0,-2.238888738,1,-1,1,0.0,,0,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1]",0.9
