model,prompt,binom,alpha_logprob,nonalpha_logprob,preference
qing-yao/handcoded_nunique_nb50k_410M_ep10_lr1e-4_seed42,"Well, the ",kiwis and wolverines,-49.18089294433594,-50.45107650756836,1.2701835632324219
qing-yao/handcoded_nunique_nb50k_410M_ep10_lr1e-4_seed42,"Well, the ",kiwis and narwhals,-53.369873046875,-51.13240432739258,-2.237468719482422
qing-yao/handcoded_nunique_nb50k_410M_ep10_lr1e-4_seed42,"Well, the ",kiwis and ocelots,-51.041717529296875,-56.13835906982422,5.096641540527344
qing-yao/handcoded_nunique_nb50k_410M_ep10_lr1e-4_seed42,"Well, the ",ibex and kiwis,-51.8624382019043,-53.96223831176758,2.0998001098632812
qing-yao/handcoded_nunique_nb50k_410M_ep10_lr1e-4_seed42,"Well, the ",harpies and kiwis,-41.367713928222656,-47.54756164550781,6.179847717285156
qing-yao/handcoded_nunique_nb50k_410M_ep10_lr1e-4_seed42,"Well, the ",axolotls and wolverines,-53.8887825012207,-62.353031158447266,8.464248657226562
qing-yao/handcoded_nunique_nb50k_410M_ep10_lr1e-4_seed42,"Well, the ",axolotls and ibex,-61.518959045410156,-54.005760192871094,-7.5131988525390625
qing-yao/handcoded_nunique_nb50k_410M_ep10_lr1e-4_seed42,"Well, the ",axolotls and harpies,-60.44331741333008,-55.402496337890625,-5.040821075439453
qing-yao/handcoded_nunique_nb50k_410M_ep10_lr1e-4_seed42,"Well, the ",axolotls and keas,-65.80802917480469,-58.192222595214844,-7.615806579589844
qing-yao/handcoded_nunique_nb50k_410M_ep10_lr1e-4_seed42,"Well, the ",axolotls and bonobos,-62.388004302978516,-55.56841278076172,-6.819591522216797
qing-yao/handcoded_nunique_nb50k_410M_ep10_lr1e-4_seed42,"Well, the ",axolotls and wombats,-58.5487060546875,-57.20663070678711,-1.3420753479003906
qing-yao/handcoded_nunique_nb50k_410M_ep10_lr1e-4_seed42,"Well, the ",axolotls and lions,-61.787174224853516,-55.83419418334961,-5.952980041503906
