model,prompt,binom,alpha_logprob,nonalpha_logprob,preference
qing-yao/genpref_n5000_nb150k_70M_ep1_lr1e-4_seed42,"Well, the ",kiwis and wolverines,-50.694740295410156,-52.45876693725586,1.7640266418457031
qing-yao/genpref_n5000_nb150k_70M_ep1_lr1e-4_seed42,"Well, the ",kiwis and narwhals,-52.99140930175781,-57.28704833984375,4.2956390380859375
qing-yao/genpref_n5000_nb150k_70M_ep1_lr1e-4_seed42,"Well, the ",kiwis and ocelots,-55.19548034667969,-49.63112258911133,-5.564357757568359
qing-yao/genpref_n5000_nb150k_70M_ep1_lr1e-4_seed42,"Well, the ",ibex and kiwis,-51.56493377685547,-54.71234130859375,3.1474075317382812
qing-yao/genpref_n5000_nb150k_70M_ep1_lr1e-4_seed42,"Well, the ",harpies and kiwis,-49.56794738769531,-52.44281768798828,2.8748703002929688
qing-yao/genpref_n5000_nb150k_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and wolverines,-52.460105895996094,-56.12333679199219,3.6632308959960938
qing-yao/genpref_n5000_nb150k_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and ibex,-55.745567321777344,-57.049747467041016,1.3041801452636719
qing-yao/genpref_n5000_nb150k_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and harpies,-53.6673583984375,-55.74965286254883,2.082294464111328
qing-yao/genpref_n5000_nb150k_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and keas,-58.71375274658203,-57.635807037353516,-1.0779457092285156
qing-yao/genpref_n5000_nb150k_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and bonobos,-54.79224395751953,-56.38850784301758,1.5962638854980469
qing-yao/genpref_n5000_nb150k_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and wombats,-57.869773864746094,-63.419158935546875,5.549385070800781
qing-yao/genpref_n5000_nb150k_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and lions,-52.669368743896484,-54.6352653503418,1.9658966064453125
