model,prompt,binom,alpha_logprob,nonalpha_logprob,preference
qing-yao/handcoded_n10000_nb0_160M_ep1_lr1e-4_seed42,"Well, the ",kiwis and wolverines,-39.45832061767578,-39.711402893066406,0.253082275390625
qing-yao/handcoded_n10000_nb0_160M_ep1_lr1e-4_seed42,"Well, the ",kiwis and narwhals,-42.7193603515625,-41.469268798828125,-1.250091552734375
qing-yao/handcoded_n10000_nb0_160M_ep1_lr1e-4_seed42,"Well, the ",kiwis and ocelots,-43.299156188964844,-40.038490295410156,-3.2606658935546875
qing-yao/handcoded_n10000_nb0_160M_ep1_lr1e-4_seed42,"Well, the ",ibex and kiwis,-40.09878158569336,-43.250160217285156,3.151378631591797
qing-yao/handcoded_n10000_nb0_160M_ep1_lr1e-4_seed42,"Well, the ",harpies and kiwis,-42.6259765625,-39.4691047668457,-3.156871795654297
qing-yao/handcoded_n10000_nb0_160M_ep1_lr1e-4_seed42,"Well, the ",axolotls and wolverines,-44.520912170410156,-44.991458892822266,0.4705467224121094
qing-yao/handcoded_n10000_nb0_160M_ep1_lr1e-4_seed42,"Well, the ",axolotls and ibex,-47.66817855834961,-44.655250549316406,-3.012928009033203
qing-yao/handcoded_n10000_nb0_160M_ep1_lr1e-4_seed42,"Well, the ",axolotls and harpies,-45.19995880126953,-48.91518783569336,3.715229034423828
qing-yao/handcoded_n10000_nb0_160M_ep1_lr1e-4_seed42,"Well, the ",axolotls and keas,-53.184383392333984,-53.51791763305664,0.33353424072265625
qing-yao/handcoded_n10000_nb0_160M_ep1_lr1e-4_seed42,"Well, the ",axolotls and bonobos,-49.905921936035156,-48.29854202270508,-1.6073799133300781
qing-yao/handcoded_n10000_nb0_160M_ep1_lr1e-4_seed42,"Well, the ",axolotls and wombats,-48.534732818603516,-51.573631286621094,3.038898468017578
qing-yao/handcoded_n10000_nb0_160M_ep1_lr1e-4_seed42,"Well, the ",axolotls and lions,-43.47346496582031,-43.67572784423828,0.20226287841796875
qing-yao/handcoded_n10000_nb0_160M_ep1_lr1e-4_seed42,"Well, the ",ocelots and platypuses,-42.23450469970703,-45.581146240234375,3.3466415405273438
qing-yao/handcoded_n10000_nb0_160M_ep1_lr1e-4_seed42,"Well, the ",ibex and platypuses,-43.68659973144531,-45.995059967041016,2.308460235595703
qing-yao/handcoded_n10000_nb0_160M_ep1_lr1e-4_seed42,"Well, the ",harpies and platypuses,-47.4941520690918,-43.77471923828125,-3.719432830810547
qing-yao/handcoded_n10000_nb0_160M_ep1_lr1e-4_seed42,"Well, the ",keas and platypuses,-50.323753356933594,-53.119510650634766,2.795757293701172
qing-yao/handcoded_n10000_nb0_160M_ep1_lr1e-4_seed42,"Well, the ",bonobos and platypuses,-43.828041076660156,-45.341007232666016,1.5129661560058594
qing-yao/handcoded_n10000_nb0_160M_ep1_lr1e-4_seed42,"Well, the ",harpies and wolverines,-43.54609680175781,-40.493839263916016,-3.052257537841797
qing-yao/handcoded_n10000_nb0_160M_ep1_lr1e-4_seed42,"Well, the ",keas and wolverines,-44.751155853271484,-47.357322692871094,2.6061668395996094
