model,prompt,binom,alpha_logprob,nonalpha_logprob,preference
qing-yao/handcoded_n10000_nb150k_70M_ep5_lr1e-4_seed42,"Well, the ",kiwis and wolverines,-59.187923431396484,-59.79011154174805,0.6021881103515625
qing-yao/handcoded_n10000_nb150k_70M_ep5_lr1e-4_seed42,"Well, the ",kiwis and narwhals,-70.073974609375,-71.47771453857422,1.4037399291992188
qing-yao/handcoded_n10000_nb150k_70M_ep5_lr1e-4_seed42,"Well, the ",kiwis and ocelots,-72.64503479003906,-70.11406707763672,-2.5309677124023438
qing-yao/handcoded_n10000_nb150k_70M_ep5_lr1e-4_seed42,"Well, the ",ibex and kiwis,-65.40764617919922,-68.88831329345703,3.4806671142578125
qing-yao/handcoded_n10000_nb150k_70M_ep5_lr1e-4_seed42,"Well, the ",harpies and kiwis,-63.7070198059082,-60.156646728515625,-3.550373077392578
qing-yao/handcoded_n10000_nb150k_70M_ep5_lr1e-4_seed42,"Well, the ",axolotls and wolverines,-51.571128845214844,-59.22589874267578,7.6547698974609375
qing-yao/handcoded_n10000_nb150k_70M_ep5_lr1e-4_seed42,"Well, the ",axolotls and ibex,-60.98444747924805,-65.35091400146484,4.366466522216797
qing-yao/handcoded_n10000_nb150k_70M_ep5_lr1e-4_seed42,"Well, the ",axolotls and harpies,-55.994911193847656,-61.53606414794922,5.5411529541015625
qing-yao/handcoded_n10000_nb150k_70M_ep5_lr1e-4_seed42,"Well, the ",axolotls and keas,-53.61314010620117,-55.020652770996094,1.4075126647949219
qing-yao/handcoded_n10000_nb150k_70M_ep5_lr1e-4_seed42,"Well, the ",axolotls and bonobos,-63.07867431640625,-67.07994842529297,4.001274108886719
qing-yao/handcoded_n10000_nb150k_70M_ep5_lr1e-4_seed42,"Well, the ",axolotls and wombats,-64.19307708740234,-69.32707977294922,5.134002685546875
qing-yao/handcoded_n10000_nb150k_70M_ep5_lr1e-4_seed42,"Well, the ",axolotls and lions,-58.252197265625,-59.339420318603516,1.0872230529785156
qing-yao/handcoded_n10000_nb150k_70M_ep5_lr1e-4_seed42,"Well, the ",ocelots and platypuses,-80.9715576171875,-82.27537536621094,1.3038177490234375
qing-yao/handcoded_n10000_nb150k_70M_ep5_lr1e-4_seed42,"Well, the ",ibex and platypuses,-79.51953125,-80.95541381835938,1.435882568359375
qing-yao/handcoded_n10000_nb150k_70M_ep5_lr1e-4_seed42,"Well, the ",harpies and platypuses,-78.62580871582031,-74.28764343261719,-4.338165283203125
qing-yao/handcoded_n10000_nb150k_70M_ep5_lr1e-4_seed42,"Well, the ",keas and platypuses,-73.11107635498047,-71.86044311523438,-1.2506332397460938
qing-yao/handcoded_n10000_nb150k_70M_ep5_lr1e-4_seed42,"Well, the ",bonobos and platypuses,-81.77789306640625,-80.99537658691406,-0.7825164794921875
qing-yao/handcoded_n10000_nb150k_70M_ep5_lr1e-4_seed42,"Well, the ",harpies and wolverines,-51.19358825683594,-50.81037902832031,-0.383209228515625
