model,prompt,binom,alpha_logprob,nonalpha_logprob,preference
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",kiwis and wolverines,-52.44892501831055,-54.142547607421875,1.6936225891113281
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",kiwis and narwhals,-58.58524703979492,-56.84971237182617,-1.73553466796875
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",kiwis and ocelots,-58.89437484741211,-54.877620697021484,-4.016754150390625
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",ibex and kiwis,-53.6638069152832,-56.13369369506836,2.4698867797851562
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",harpies and kiwis,-52.0554084777832,-51.47188949584961,-0.5835189819335938
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and wolverines,-54.63728713989258,-58.788700103759766,4.1514129638671875
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and ibex,-60.775634765625,-60.623191833496094,-0.15244293212890625
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and harpies,-56.610382080078125,-58.21820831298828,1.6078262329101562
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and keas,-60.00164794921875,-58.548885345458984,-1.4527626037597656
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and bonobos,-62.811458587646484,-61.92279052734375,-0.8886680603027344
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and wombats,-61.80622482299805,-63.78964614868164,1.9834213256835938
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and lions,-57.77107620239258,-56.81963348388672,-0.9514427185058594
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",ocelots and platypuses,-68.07952117919922,-65.85333251953125,-2.2261886596679688
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",ibex and platypuses,-70.36660766601562,-67.92584228515625,-2.440765380859375
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",harpies and platypuses,-65.35560607910156,-59.345672607421875,-6.0099334716796875
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",keas and platypuses,-68.90208435058594,-66.80758666992188,-2.0944976806640625
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",bonobos and platypuses,-71.59893798828125,-66.44660949707031,-5.1523284912109375
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",harpies and wolverines,-48.973243713378906,-46.81743621826172,-2.1558074951171875
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",keas and wolverines,-51.121124267578125,-53.861328125,2.740203857421875
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",bonobos and wolverines,-55.831661224365234,-58.20498275756836,2.373321533203125
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",capybaras and ibex,-72.26737976074219,-65.57418060302734,-6.693199157714844
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",capybaras and harpies,-67.36482238769531,-64.53936004638672,-2.8254623413085938
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",capybaras and keas,-70.78131866455078,-66.34011840820312,-4.441200256347656
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",ibex and narwhals,-59.889041900634766,-58.08685302734375,-1.8021888732910156
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",harpies and narwhals,-54.99969482421875,-50.484867095947266,-4.514827728271484
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",keas and narwhals,-58.802085876464844,-59.1624755859375,0.36038970947265625
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",ibex and ocelots,-59.80732345581055,-56.64935302734375,-3.157970428466797
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",keas and ocelots,-56.29039764404297,-55.34722900390625,-0.9431686401367188
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",bonobos and ocelots,-58.6201286315918,-58.62955093383789,0.00942230224609375
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",harpies and ibex,-51.858795166015625,-53.29384231567383,1.4350471496582031
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",ibex and keas,-54.22585678100586,-55.3950309753418,1.1691741943359375
qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",bonobos and ibex,-57.9890251159668,-60.97016525268555,2.98114013671875
