model,prompt,binom,alpha_logprob,nonalpha_logprob,preference
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",kiwis and wolverines,-42.82160949707031,-41.79551315307617,-1.0260963439941406
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",kiwis and narwhals,-48.076847076416016,-46.0254020690918,-2.0514450073242188
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",kiwis and ocelots,-49.012943267822266,-44.497772216796875,-4.515171051025391
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",ibex and kiwis,-43.91238784790039,-49.77421188354492,5.861824035644531
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",harpies and kiwis,-49.78956604003906,-46.52285385131836,-3.266712188720703
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",axolotls and wolverines,-49.16657257080078,-47.99852752685547,-1.1680450439453125
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",axolotls and ibex,-53.38505554199219,-48.97726821899414,-4.407787322998047
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",axolotls and harpies,-52.77078628540039,-55.519500732421875,2.7487144470214844
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",axolotls and keas,-60.41216278076172,-60.5069694519043,0.09480667114257812
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",axolotls and bonobos,-57.25868225097656,-53.586647033691406,-3.6720352172851562
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",axolotls and wombats,-53.947021484375,-59.24861145019531,5.3015899658203125
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",axolotls and lions,-49.37189483642578,-49.51809310913086,0.14619827270507812
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",ocelots and platypuses,-46.116878509521484,-47.63233947753906,1.5154609680175781
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",ibex and platypuses,-45.73698425292969,-47.796573638916016,2.059589385986328
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",harpies and platypuses,-54.70938491821289,-47.361785888671875,-7.347599029541016
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",keas and platypuses,-56.412654876708984,-55.87531661987305,-0.5373382568359375
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",bonobos and platypuses,-48.472373962402344,-48.290863037109375,-0.18151092529296875
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",harpies and wolverines,-48.338417053222656,-43.696327209472656,-4.64208984375
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",keas and wolverines,-49.65128707885742,-50.15879440307617,0.50750732421875
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",bonobos and wolverines,-42.27796173095703,-46.35165786743164,4.073696136474609
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",capybaras and ibex,-53.83579635620117,-49.85285186767578,-3.9829444885253906
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",capybaras and harpies,-50.68698501586914,-62.6298828125,11.94289779663086
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",capybaras and keas,-59.21017837524414,-65.27961730957031,6.069438934326172
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",ibex and narwhals,-45.655418395996094,-43.515865325927734,-2.1395530700683594
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",harpies and narwhals,-50.74291229248047,-44.08571243286133,-6.657199859619141
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",keas and narwhals,-53.89987564086914,-51.54439926147461,-2.3554763793945312
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",ibex and ocelots,-42.50387954711914,-45.02820587158203,2.5243263244628906
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",keas and ocelots,-52.113616943359375,-51.55818557739258,-0.5554313659667969
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",bonobos and ocelots,-46.12247848510742,-47.65448760986328,1.5320091247558594
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",harpies and ibex,-53.61918640136719,-47.32102584838867,-6.298160552978516
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",ibex and keas,-51.16849899291992,-52.92121505737305,1.752716064453125
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",bonobos and ibex,-48.65868377685547,-46.35078430175781,-2.3078994750976562
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",ibex and koalas,-45.60141372680664,-47.42901611328125,1.8276023864746094
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",ibex and sloths,-43.70363235473633,-45.369529724121094,1.6658973693847656
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",aardvarks and ibex,-59.06509780883789,-56.62642288208008,-2.4386749267578125
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",harpies and keas,-59.01502227783203,-54.22955322265625,-4.785469055175781
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",bonobos and harpies,-45.930538177490234,-52.162841796875,6.232303619384766
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",harpies and koalas,-55.53117370605469,-43.63816833496094,-11.89300537109375
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",harpies and wombats,-51.017982482910156,-50.67845153808594,-0.33953094482421875
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",aardvarks and harpies,-57.11360549926758,-63.436195373535156,6.322589874267578
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",bonobos and keas,-53.64093017578125,-55.801021575927734,2.1600914001464844
qing-yao/handcoded_nunique_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",keas and koalas,-54.77629089355469,-50.64570617675781,-4.130584716796875
