model,prompt,binom,alpha_logprob,nonalpha_logprob,preference
qing-yao/genpref_nunique_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",kiwis and wolverines,-48.11697769165039,-51.21999740600586,3.1030197143554688
qing-yao/genpref_nunique_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",kiwis and narwhals,-58.987953186035156,-58.80400466918945,-0.18394851684570312
qing-yao/genpref_nunique_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",kiwis and ocelots,-51.51130294799805,-46.99539566040039,-4.515907287597656
qing-yao/genpref_nunique_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",ibex and kiwis,-50.392677307128906,-54.267845153808594,3.8751678466796875
qing-yao/genpref_nunique_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",harpies and kiwis,-49.28553771972656,-50.05733108520508,0.7717933654785156
qing-yao/genpref_nunique_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and wolverines,-57.53466033935547,-62.02408981323242,4.489429473876953
qing-yao/genpref_nunique_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and ibex,-62.790061950683594,-63.615753173828125,0.8256912231445312
qing-yao/genpref_nunique_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and harpies,-59.628273010253906,-62.72027587890625,3.0920028686523438
qing-yao/genpref_nunique_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and keas,-61.65101623535156,-64.78593444824219,3.134918212890625
qing-yao/genpref_nunique_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and bonobos,-63.802703857421875,-64.25750732421875,0.454803466796875
qing-yao/genpref_nunique_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and wombats,-64.0903091430664,-68.72944641113281,4.639137268066406
qing-yao/genpref_nunique_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and lions,-58.49241256713867,-61.491859436035156,2.9994468688964844
qing-yao/genpref_nunique_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",ocelots and platypuses,-66.0174560546875,-68.01749420166016,2.0000381469726562
qing-yao/genpref_nunique_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",ibex and platypuses,-75.24281311035156,-71.8399429321289,-3.4028701782226562
qing-yao/genpref_nunique_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",harpies and platypuses,-69.95455932617188,-63.61928176879883,-6.335277557373047
qing-yao/genpref_nunique_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",keas and platypuses,-72.6580810546875,-70.48831939697266,-2.1697616577148438
qing-yao/genpref_nunique_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",bonobos and platypuses,-73.67013549804688,-69.63500213623047,-4.035133361816406
qing-yao/genpref_nunique_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",harpies and wolverines,-50.130531311035156,-49.277645111083984,-0.8528861999511719
qing-yao/genpref_nunique_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",keas and wolverines,-52.491424560546875,-56.66669845581055,4.175273895263672
qing-yao/genpref_nunique_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",bonobos and wolverines,-56.009498596191406,-58.75241470336914,2.7429161071777344
qing-yao/genpref_nunique_nb300k_70M_ep1_lr1e-4_seed42,"Well, the ",capybaras and ibex,-71.28239440917969,-64.88104248046875,-6.4013519287109375
