model,prompt,binom,alpha_logprob,nonalpha_logprob,preference
qing-yao/genpref_n10000_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",kiwis and wolverines,-42.41219711303711,-41.54145812988281,-0.8707389831542969
qing-yao/genpref_n10000_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",kiwis and narwhals,-40.41708755493164,-42.6141471862793,2.1970596313476562
qing-yao/genpref_n10000_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",kiwis and ocelots,-46.10700225830078,-43.08744430541992,-3.0195579528808594
qing-yao/genpref_n10000_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",ibex and kiwis,-46.32210159301758,-44.45656204223633,-1.86553955078125
qing-yao/genpref_n10000_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",harpies and kiwis,-41.55928039550781,-38.81404113769531,-2.7452392578125
qing-yao/genpref_n10000_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and wolverines,-51.78383255004883,-48.03691864013672,-3.7469139099121094
qing-yao/genpref_n10000_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and ibex,-51.8549919128418,-50.08350372314453,-1.7714881896972656
qing-yao/genpref_n10000_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and harpies,-49.6282844543457,-45.036502838134766,-4.5917816162109375
qing-yao/genpref_n10000_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and keas,-54.584041595458984,-49.61283874511719,-4.971202850341797
qing-yao/genpref_n10000_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and bonobos,-49.815364837646484,-42.41328430175781,-7.402080535888672
qing-yao/genpref_n10000_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and wombats,-51.639495849609375,-46.65077209472656,-4.9887237548828125
qing-yao/genpref_n10000_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and lions,-49.80345153808594,-41.27809524536133,-8.52535629272461
qing-yao/genpref_n10000_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",ocelots and platypuses,-39.43488311767578,-42.64958953857422,3.2147064208984375
qing-yao/genpref_n10000_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",ibex and platypuses,-50.75514602661133,-38.65397262573242,-12.101173400878906
qing-yao/genpref_n10000_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",harpies and platypuses,-38.83915710449219,-40.27373504638672,1.4345779418945312
qing-yao/genpref_n10000_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",keas and platypuses,-47.698448181152344,-45.823577880859375,-1.8748703002929688
qing-yao/genpref_n10000_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",bonobos and platypuses,-38.86735534667969,-41.368370056152344,2.5010147094726562
qing-yao/genpref_n10000_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",harpies and wolverines,-42.282135009765625,-42.45280075073242,0.17066574096679688
qing-yao/genpref_n10000_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",keas and wolverines,-45.98823165893555,-43.062416076660156,-2.9258155822753906
qing-yao/genpref_n10000_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",bonobos and wolverines,-41.50428009033203,-42.13292694091797,0.6286468505859375
qing-yao/genpref_n10000_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",capybaras and ibex,-44.9602165222168,-48.290992736816406,3.3307762145996094
qing-yao/genpref_n10000_nb0_410M_ep1_lr1e-4_seed42,"Well, the ",capybaras and harpies,-45.270172119140625,-44.613956451416016,-0.6562156677246094
