Power,__session,key_resp.keys,__experimentName,trials.thisTrialN,SESSION_ID,mouse.y,Word1,key_resp_4.keys,__participant,key_resp_2.duration,key_resp.duration,mouse.leftButton,Freq,PROLIFIC_PID,Culture,key_resp.rt,main.stopped,key_resp_2.rt,Form,end.started,pause.stopped,trials.thisRepN,RelFreq,mouse.x,main.started,Nonalpha,Lapse,OverallFreq,begin_exp.stopped,Icon,ris.stopped,trials.thisIndex,Alpha,psychopyVersion,frameRate,key_resp_3.keys,session,GenPref,NoFinalStress,mouse.midButton,key_resp_2.keys,Weird,__datetime,STUDY_ID,ris.started,end.stopped,mouse.clicked_name,mouse.corr,trials.thisN,Intense,OS,begin_exp.started,Attested,key_resp_4.rt,trial.started,expName,Percept,trial.stopped,date,mouse.time,participant,key_resp_3.duration,Word2,trials.ran,key_resp_3.rt,mouse.rightButton,Len,pause.started
﻿,001,,eng-binoms-human-judgements,,692f65cc7c3feb3eec0c8c8d,,,,698832,,,,,5fdf1be98bcb1f7107541cb7,,,,,,,,,,,,,,,4.039200000047684,,,,,2025.1.1,83.33333333333333,return,001,,,,,,2025-12-02_17h18.58.886,692e60e5c807364132bee744,,,,,,,Win32,9.99999046324973e-05,,,,human-judgements,,,2025-12-02_17h19.04.604,,698832,,,,3.9935999999046334,,,
﻿,001,,eng-binoms-human-judgements,,692f65cc7c3feb3eec0c8c8d,,,space,698832,,,,,5fdf1be98bcb1f7107541cb7,,,,,,,,,,,,,,,,,12.418599999904632,,,2025.1.1,83.33333333333333,,001,,,,,,2025-12-02_17h18.58.886,692e60e5c807364132bee744,4.039400000095368,,,,,,Win32,,,8.361,,human-judgements,,,2025-12-02_17h19.04.604,,698832,,,,,,,
﻿,001,return,eng-binoms-human-judgements,,692f65cc7c3feb3eec0c8c8d,,,,698832,,,,,5fdf1be98bcb1f7107541cb7,,5.375200000047684,,,,,,,,,,,,,,,,,,2025.1.1,83.33333333333333,,001,,,,,,2025-12-02_17h18.58.886,692e60e5c807364132bee744,,,,,,,Win32,,,,12.418700000047686,human-judgements,,17.802900000095367,2025-12-02_17h19.04.604,,698832,,,,,,,
﻿1,001,,eng-binoms-human-judgements,0,692f65cc7c3feb3eec0c8c8d,"[-0.0023430178069353325,-0.4034676663542643]",mr.,,698832,,,"[1,1]",0.649469027,5fdf1be98bcb1f7107541cb7,0,,25.470299999952317,,0,,25.9635,0,0.998090817,"[-0.358169312553084,-0.007653820034266635]",17.8175,mrs. and mr.,0,1680824,,0,,132,mr. and mrs.,2025.1.1,83.33333333333333,,001,0.640834642,0,"[0,0]",,no,2025-12-02_17h18.58.886,692e60e5c807364132bee744,,,"[""text_10"",""text_9""]","[0,1]",0,0,Win32,,1,,,human-judgements,0,,2025-12-02_17h19.04.604,"[5.767400000095368,7.401900000095363]",698832,,mrs.,1,,"[0,0]",0,25.470599999904636
﻿-1,001,,eng-binoms-human-judgements,1,692f65cc7c3feb3eec0c8c8d,"[-0.016713565157860825,-0.41721338988914597]",nationalism,,698832,,,"[1,1]",-0.048887904,5fdf1be98bcb1f7107541cb7,1,,32.61929999995232,,0,,33.11629999995232,0,0.500313087,"[0.24351768886920103,-0.018900305507556232]",25.96559999990463,sovereignty and nationalism,1,1597,,0,,98,nationalism and sovereignty,2025.1.1,83.33333333333333,,001,0.375409638,0,"[0,0]",,no,2025-12-02_17h18.58.886,692e60e5c807364132bee744,,,"[""text_11"",""text_9""]","[0,1]",1,0,Win32,,1,,,human-judgements,0,,2025-12-02_17h19.04.604,"[5.5182000000476705,6.400999999999996]",698832,,sovereignty,1,,"[0,0]",-2,32.6195
﻿0,001,,eng-binoms-human-judgements,2,692f65cc7c3feb3eec0c8c8d,"[-0.004217432052483599,-0.39659483318811506]",cod,,698832,,,"[1,1]",-0.6132146,5fdf1be98bcb1f7107541cb7,1,,41.97620000004768,,0,,42.46279999995231,0,0.503396739,"[0.24351768886920103,-0.007029053420805998]",33.11740000009536,salmon and cod,1,1472,,0,,15,cod and salmon,2025.1.1,83.33333333333333,,001,0.696176165,1,"[0,0]",,no,2025-12-02_17h18.58.886,692e60e5c807364132bee744,,,"[""text_11"",""text_9""]","[0,1]",2,0,Win32,,1,,,human-judgements,0,,2025-12-02_17h19.04.604,"[7.742000000000004,8.607899999856954]",698832,,salmon,1,,"[0,0]",1,41.97640000009537
﻿-1,001,,eng-binoms-human-judgements,3,692f65cc7c3feb3eec0c8c8d,"[0.018900305507556232,-0.38847235238987815]",child,,698832,,,"[1,1]",0.542274311,5fdf1be98bcb1f7107541cb7,0,,45.94840000009536,,0,,46.451900000095364,0,0.02212795,"[-0.31880658479527885,0.006091846298031865]",42.463900000095364,wife and child,0,166893,,0,,88,child and wife,2025.1.1,83.33333333333333,,001,0.397225022,0,"[0,0]",,no,2025-12-02_17h18.58.886,692e60e5c807364132bee744,,,"[""text_11"",""text_9""]","[0,1]",3,0,Win32,,1,,,human-judgements,0,,2025-12-02_17h19.04.604,"[2.4307999999523275,3.22979999995232]",698832,,wife,1,,"[0,0]",0,45.948499999999996
﻿0,001,,eng-binoms-human-judgements,4,692f65cc7c3feb3eec0c8c8d,"[-0.017338331771321464,-0.39971883786316775]",anxiety,,698832,,,"[1,1]",2.153680754,5fdf1be98bcb1f7107541cb7,0,,52.337,,0,,52.83820000004768,0,0.616583983,"[-0.2325835295000586,0.012964736666764292]",46.452599999904635,dismay and anxiety,-2,1411,,0,,125,anxiety and dismay,2025.1.1,83.33333333333333,,001,0.459865509,-1,"[0,0]",,no,2025-12-02_17h18.58.886,692e60e5c807364132bee744,,,"[""text_10"",""text_9""]","[0,1]",4,0,Win32,,1,,,human-judgements,0,,2025-12-02_17h19.04.604,"[4.995599999904627,5.6308999998569504]",698832,,dismay,1,,"[0,0]",-2,52.33720000004769
﻿0,001,,eng-binoms-human-judgements,5,692f65cc7c3feb3eec0c8c8d,"[-0.001093427377430881,-0.3928460046970185]",Tories,,698832,,,"[1,1]",-0.462626371,5fdf1be98bcb1f7107541cb7,0,,56.73170000004768,,0,,57.22609999990463,0,0.155034047,"[-0.25945015275377814,-0.037019681349578254]",52.84090000009536,Whigs and Tories,-1,24672,,0,,33,Tories and Whigs,2025.1.1,83.33333333333333,,001,0.383298398,-1,"[0,0]",,no,2025-12-02_17h18.58.886,692e60e5c807364132bee744,,,"[""text_11"",""text_9""]","[0,1]",5,0,Win32,,1,,,human-judgements,0,,2025-12-02_17h19.04.604,"[2.899200000047685,3.6412999999523095]",698832,,Whigs,1,,"[0,0]",-1,56.731799999952315
﻿0,001,,eng-binoms-human-judgements,6,692f65cc7c3feb3eec0c8c8d,"[-0.01483915091231256,-0.3953452427586106]",contraction,,698832,,,"[1,1]",1.356318215,5fdf1be98bcb1f7107541cb7,0,,64.04679999995231,,0,,64.55440000009537,0,0.610674614,"[-0.17822551637915884,-0.0151514770164597]",57.22809999990463,dilatation and contraction,0,3691,,0,,29,contraction and dilatation,2025.1.1,83.33333333333333,,001,0.632519451,0,"[0,0]",,no,2025-12-02_17h18.58.886,692e60e5c807364132bee744,,,"[""text_10"",""text_9""]","[0,1]",6,1,Win32,,1,,,human-judgements,0,,2025-12-02_17h19.04.604,"[5.760299999952309,6.567099999904627]",698832,,dilatation,1,,"[0,0]",2,64.04690000009536
