Word1,Word2,Alpha,Nonalpha,OverallFreq,Word1_freq,Word2_freq,Weird?,Form,Percept,Culture,Power,Intense,Icon,Freq,Len,Lapse,*BStress,RelFreq,GenPref,Attested,AandB,BandA,alpha_prob,nonalpha_prob
kiwis,wolverines,kiwis and wolverines,wolverines and kiwis,0,1308423.0,1749798.0,no,0,0,0,-1,-1,0,-0.290677758,1,-1,-1,0.0,,0,Next item: kiwis and wolverines,Next item: wolverines and kiwis,-34.6669921875,-34.73779296875
kiwis,narwhals,kiwis and narwhals,narwhals and kiwis,0,1308423.0,86641.0,no,0,1,0,-1,-1,0,2.71480473,0,-1,-1,0.0,,0,Next item: kiwis and narwhals,Next item: narwhals and kiwis,-32.375,-34.060791015625
kiwis,ocelots,kiwis and ocelots,ocelots and kiwis,0,1308423.0,84729.0,no,0,0,0,-1,0,0,2.737119946,0,-1,-1,0.0,,0,Next item: kiwis and ocelots,Next item: ocelots and kiwis,-33.5546875,-30.05322265625
ibex,kiwis,ibex and kiwis,kiwis and ibex,0,405760.0,1308423.0,no,0,0,0,1,0,0,-1.170816022,0,1,0,0.0,,0,Next item: ibex and kiwis,Next item: kiwis and ibex,-31.84375,-32.34375
harpies,kiwis,harpies and kiwis,kiwis and harpies,0,186488.0,1308423.0,no,0,-1,0,1,1,0,-1.94821098,0,0,0,0.0,,0,Next item: harpies and kiwis,Next item: kiwis and harpies,-34.30078125,-34.171875
axolotls,wolverines,axolotls and wolverines,wolverines and axolotls,0,118861.0,1749798.0,no,0,-1,0,-1,0,0,-2.689300889,-1,-1,-1,0.0,,0,Next item: axolotls and wolverines,Next item: wolverines and axolotls,-30.3623046875,-33.550567626953125
axolotls,ibex,axolotls and ibex,ibex and axolotls,0,118861.0,405760.0,no,0,-1,0,-1,0,0,-1.227807109,-2,-1,0,0.0,,0,Next item: axolotls and ibex,Next item: ibex and axolotls,-32.06640625,-31.99169921875
axolotls,harpies,axolotls and harpies,harpies and axolotls,0,118861.0,186488.0,no,0,1,0,-1,-1,0,-0.450412151,-2,0,0,0.0,,0,Next item: axolotls and harpies,Next item: harpies and axolotls,-34.4560546875,-35.707275390625
axolotls,keas,axolotls and keas,keas and axolotls,0,118861.0,41506.0,no,0,0,1,-1,0,0,1.052116748,-3,-1,1,0.0,,0,Next item: axolotls and keas,Next item: keas and axolotls,-34.0966796875,-35.959228515625
axolotls,bonobos,axolotls and bonobos,bonobos and axolotls,0,118861.0,290761.0,no,0,-1,0,-1,0,0,-0.894546881,-1,0,0,0.0,,0,Next item: axolotls and bonobos,Next item: bonobos and axolotls,-30.7958984375,-30.028594970703125
axolotls,wombats,axolotls and wombats,wombats and axolotls,0,118861.0,228721.0,no,0,-1,0,-1,0,0,-0.654548177,-2,-1,-1,0.0,,0,Next item: axolotls and wombats,Next item: wombats and axolotls,-31.5927734375,-31.62757110595703
axolotls,lions,axolotls and lions,lions and axolotls,0,118861.0,19766321.0,no,0,-1,-1,-1,-1,0,-5.113780066,-2,0,0,0.0,,0,Next item: axolotls and lions,Next item: lions and axolotls,-31.2685546875,-29.55548095703125
ocelots,platypuses,ocelots and platypuses,platypuses and ocelots,0,84729.0,43558.0,no,0,1,-1,1,0,0,0.665364545,1,3,1,0.0,,0,Next item: ocelots and platypuses,Next item: platypuses and ocelots,-29.25518798828125,-33.517578125
ibex,platypuses,ibex and platypuses,platypuses and ibex,0,405760.0,43558.0,no,0,1,0,1,0,0,2.231668468,2,3,1,0.0,,0,Next item: ibex and platypuses,Next item: platypuses and ibex,-33.82373046875,-36.2109375
harpies,platypuses,harpies and platypuses,platypuses and harpies,0,186488.0,43558.0,no,0,0,0,1,1,0,1.454273511,2,2,0,0.0,,0,Next item: harpies and platypuses,Next item: platypuses and harpies,-35.8720703125,-38.0078125
keas,platypuses,keas and platypuses,platypuses and keas,0,41506.0,43558.0,no,0,0,-1,0,0,0,-0.048255388,3,3,1,0.0,,0,Next item: keas and platypuses,Next item: platypuses and keas,-34.53466796875,-36.0390625
bonobos,platypuses,bonobos and platypuses,platypuses and bonobos,0,290761.0,43558.0,no,0,1,0,1,0,0,1.898408241,1,2,0,0.0,,0,Next item: bonobos and platypuses,Next item: platypuses and bonobos,-33.625,-35.09765625
harpies,wolverines,harpies and wolverines,wolverines and harpies,0,186488.0,1749798.0,no,0,-1,0,0,0,0,-2.238888738,1,-1,1,0.0,,0,Next item: harpies and wolverines,Next item: wolverines and harpies,-35.857421875,-36.171875
keas,wolverines,keas and wolverines,wolverines and keas,0,41506.0,1749798.0,no,0,-1,-1,-1,0,0,-3.741417637,2,0,0,0.0,,0,Next item: keas and wolverines,Next item: wolverines and keas,-35.10546875,-35.421875
bonobos,wolverines,bonobos and wolverines,wolverines and bonobos,0,290761.0,1749798.0,no,0,0,0,0,0,0,-1.794754008,0,-1,-1,0.0,,0,Next item: bonobos and wolverines,Next item: wolverines and bonobos,-33.880859375,-35.25
capybaras,ibex,capybaras and ibex,ibex and capybaras,0,77225.0,405760.0,no,0,0,0,0,0,0,-1.659038613,-2,-1,-1,0.0,,0,Next item: capybaras and ibex,Next item: ibex and capybaras,-28.787109375,-32.958984375
capybaras,harpies,capybaras and harpies,harpies and capybaras,0,77225.0,186488.0,no,0,1,0,-1,-1,0,-0.881643655,-2,0,0,0.0,,0,Next item: capybaras and harpies,Next item: harpies and capybaras,-32.0927734375,-36.780029296875
capybaras,keas,capybaras and keas,keas and capybaras,0,77225.0,41506.0,no,0,1,1,1,0,0,0.620885244,-3,-1,-1,0.0,,0,Next item: capybaras and keas,Next item: keas and capybaras,-30.1396484375,-35.43505859375
ibex,narwhals,ibex and narwhals,narwhals and ibex,0,405760.0,86641.0,no,0,1,0,-1,0,0,1.543988707,0,0,0,0.0,,0,Next item: ibex and narwhals,Next item: narwhals and ibex,-33.123046875,-33.091796875
harpies,narwhals,harpies and narwhals,narwhals and harpies,0,186488.0,86641.0,no,0,-1,0,0,1,0,0.766593749,0,-1,-1,0.0,,0,Next item: harpies and narwhals,Next item: narwhals and harpies,-35.873046875,-35.046875
keas,narwhals,keas and narwhals,narwhals and keas,0,41506.0,86641.0,no,0,0,-1,-1,0,0,-0.73593515,1,0,0,0.0,,0,Next item: keas and narwhals,Next item: narwhals and keas,-34.568359375,-33.59375
ibex,ocelots,ibex and ocelots,ocelots and ibex,0,405760.0,84729.0,no,0,0,0,0,0,0,1.566303924,1,0,0,0.0,,0,Next item: ibex and ocelots,Next item: ocelots and ibex,-30.9111328125,-29.2216796875
