binom,Alpha Probs,Nonalpha Probs
kiwis and wolverines,-38.36603285185993,-31.822049686685205
kiwis and narwhals,-39.952264964580536,-38.40425258874893
kiwis and ocelots,-48.733426570892334,-42.63883186504245
ibex and kiwis,-36.87127107381821,-36.77883338928223
harpies and kiwis,-38.87841950170696,-40.190812826156616
axolotls and wolverines,-47.13746002316475,-43.17279785871506
axolotls and ibex,-49.11493790894747,-47.496666848659515
axolotls and harpies,-49.09917390346527,-48.158531188964844
axolotls and keas,-54.607431292533875,-54.36604917049408
axolotls and bonobos,-47.53126031719148,-53.16460502962582
axolotls and wombats,-47.947816610336304,-44.75894767045975
axolotls and lions,-44.71592032909393,-47.31778961420059
ocelots and platypuses,-45.614474419504404,-49.88757537305355
ibex and platypuses,-44.040921334177256,-43.12400522828102
harpies and platypuses,-36.73448337614536,-44.89689779281616
keas and platypuses,-49.945829689502716,-52.980409145355225
bonobos and platypuses,-41.670359522802755,-43.57087224337738
harpies and wolverines,-34.35797287803143,-36.286794543266296
keas and wolverines,-45.556522488594055,-40.8452605009079
bonobos and wolverines,-38.18337888340466,-34.98424381483346
capybaras and ibex,-40.940321028232574,-42.72384059429169
capybaras and harpies,-42.946741342544556,-36.651779651641846
capybaras and keas,-47.07044243812561,-50.51974964141846
ibex and narwhals,-45.75762450695038,-41.039074659347534
harpies and narwhals,-42.437094300985336,-41.288060903549194
keas and narwhals,-49.988662749528885,-48.370293617248535
ibex and ocelots,-50.93625628948212,-44.206658526323736
keas and ocelots,-55.08450412750244,-51.488686084747314
bonobos and ocelots,-47.008931406540796,-46.001070379672456
harpies and ibex,-38.054870650172234,-40.66603243350983
ibex and keas,-41.878543734550476,-44.302715837955475
bonobos and ibex,-35.71085884491913,-39.73646289668977
ibex and koalas,-41.22998648881912,-37.16564750671387
ibex and sloths,-41.37956941127777,-36.38553440570831
aardvarks and ibex,-42.067525804042816,-44.33171558380127
harpies and keas,-44.50907754898071,-44.52242112159729
bonobos and harpies,-39.14846027712338,-39.378596137306886
harpies and koalas,-36.13974554557353,-39.36511671543121
harpies and wombats,-36.4175061583519,-28.316850900650024
aardvarks and harpies,-45.63188719749451,-43.72013992071152
bonobos and keas,-45.02506817202084,-46.53808864951134
keas and koalas,-43.212052665650845,-41.70676624774933
keas and sloths,-43.230069398880005,-42.953824043273926
keas and wombats,-42.70329463481903,-38.363667726516724
keas and lions,-39.51233243942261,-41.07030701637268
aardvarks and keas,-48.8550808429718,-50.159890949726105
bonobos and wombats,-40.431881435913965,-28.39725862137857
aardvarks and bonobos,-46.0536037303973,-44.36708048800938
ocarinas and vibraphones,-52.47885870933533,-47.41537356376648
cymbals and ocarinas,-40.72582125663757,-45.84924268722534
clarinets and ocarinas,-45.21165157854557,-41.203071312978864
cellos and ocarinas,-41.641725301742554,-44.74891519546509
didgeridoos and vibraphones,-50.52291280776262,-50.21408236026764
lutes and marimbas,-35.23485720157623,-37.22017788887024
kalimbas and lutes,-50.28483057022095,-44.13207149505615
clarinets and kalimbas,-47.853741347789764,-52.98782417178154
kalimbas and trumpets,-50.031760573387146,-45.15193510055542
cellos and kalimbas,-45.89713668823242,-49.65483808517456
kalimbas and saxophones,-51.33777014911175,-50.755610704422
lutes and saxophones,-35.59384807196329,-32.24995934963226
casserole and eagle,-35.682653069496155,-34.58485463261604
kite and linguist,-38.602781772613525,-38.16561007499695
algorithm and perfume,-34.71192407608032,-32.746861934661865
forest and screwdriver,-33.102228675968945,-33.11086206510663
slipper and volcano,-31.980386972427368,-30.631749629974365
harmonica and microscope,-34.885471031069756,-37.34074258804321
cookbook and zenith,-35.05184257030487,-45.05772662162781
hammock and hydrogen,-34.10538721084595,-41.243459701538086
neuron and toaster,-41.499983072280884,-38.02723217010498
marshmallow and telescope,-29.831616359762847,-31.281730314018205
casserole and optics,-41.71766912937164,-40.01013922691345
comet and encyclopedia,-34.86009180173278,-34.645790342241526
nimbus and waffle,-33.6892383992672,-35.20550602674484
photon and pumpkin,-37.013187885284424,-42.24883699417114
lantern and syntax,-38.86010932922363,-35.902499318122864
echo and vineyard,-38.72988843917847,-35.80835437774658
nebula and snowman,-35.45442275889218,-28.56779219128657
botany and teapot,-36.965660095214844,-33.16968846321106
chisel and kaleidoscope,-38.043661467731,-35.5711056785658
lava and teacup,-34.12614059448242,-32.923339277505875
entropy and orchard,-36.5769469672814,-37.77604908798821
axolotl and vineyard,-45.14214926958084,-44.291652858257294
clockwork and meadow,-35.354331493377686,-42.170982837677
