backend,term,estimate,se,zvalue,model
lmer,item_logodds_singleprompt,-0.0030615520245903427,0.005523385840927671,-0.5542890018482115,qing-yao/baseline_nb150k_160M_ep10_lr1e-4_seed42
lmer,item_logodds_singleprompt,0.010154106188995623,0.007097858134252001,1.430587368321035,qing-yao/baseline_nb150k_160M_ep1_lr1e-4_seed42
lmer,item_logodds_singleprompt,0.005401573348783777,0.0058807882088057544,0.9185117975674736,qing-yao/baseline_nb150k_160M_ep5_lr1e-4_seed42
lmer,item_logodds_singleprompt,0.007804595044613957,0.003569939607256405,2.1861980602557023,qing-yao/baseline_nb150k_410M_ep10_lr1e-4_seed42
lmer,item_logodds_singleprompt,0.018566422927105735,0.007195532843625238,2.580270750004893,qing-yao/baseline_nb150k_410M_ep1_lr1e-4_seed42
lmer,item_logodds_singleprompt,0.008546789472666965,0.004538586892144003,1.883138887890612,qing-yao/baseline_nb150k_410M_ep5_lr1e-4_seed42
lmer,item_logodds_singleprompt,0.014407173918443652,0.006223344357288289,2.315021167287828,qing-yao/baseline_nb150k_70M_ep10_lr1e-4_seed42
lmer,item_logodds_singleprompt,0.004431050460250417,0.007273784988545807,0.6091808415052262,qing-yao/baseline_nb150k_70M_ep1_lr1e-4_seed42
lmer,item_logodds_singleprompt,-2.2469786204298232e-4,0.0067330645420156975,-0.033372301816033664,qing-yao/baseline_nb150k_70M_ep5_lr1e-4_seed42
lmer,item_logodds_singleprompt,-0.007059191182108475,0.004160295322268809,-1.6968004997921058,qing-yao/baseline_nb300k_160M_ep10_lr1e-4_seed42
lmer,item_logodds_singleprompt,-0.005182648860702669,0.007268203262850499,-0.7130577769051134,qing-yao/baseline_nb300k_160M_ep1_lr1e-4_seed42
lmer,item_logodds_singleprompt,-0.005056768844456278,0.005188332913950258,-0.9746423231361593,qing-yao/baseline_nb300k_160M_ep5_lr1e-4_seed42
lmer,item_logodds_singleprompt,0.001015091186105373,0.004083474294704585,0.24858517841577568,qing-yao/baseline_nb300k_410M_ep10_lr1e-4_seed42
lmer,item_logodds_singleprompt,0.012508788510483412,0.006172726193134502,2.026460937858555,qing-yao/baseline_nb300k_410M_ep1_lr1e-4_seed42
lmer,item_logodds_singleprompt,4.4963321755908523e-4,0.004003281414810605,0.11231616540761158,qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42
lmer,item_logodds_singleprompt,0.009395555421267361,0.005020718775043364,1.8713566408001434,qing-yao/baseline_nb300k_70M_ep10_lr1e-4_seed42
lmer,item_logodds_singleprompt,0.004876241849548203,0.007820598180956194,0.6235126440100525,qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42
lmer,item_logodds_singleprompt,0.008347303305341771,0.005185272597314901,1.60980992776817,qing-yao/baseline_nb300k_70M_ep5_lr1e-4_seed42
lmer,item_logodds_singleprompt,0.0064304271446085385,0.00509920381679738,1.2610649379077479,qing-yao/baseline_nb50k_160M_ep10_lr1e-4_seed42
lmer,item_logodds_singleprompt,0.007810351719155202,0.007636042073033448,1.0228272244252459,qing-yao/baseline_nb50k_160M_ep1_lr1e-4_seed42
lmer,item_logodds_singleprompt,0.002588756019079119,0.005122264232895187,0.5053929085606566,qing-yao/baseline_nb50k_160M_ep5_lr1e-4_seed42
lmer,item_logodds_singleprompt,0.010261785719267265,0.004537351991091175,2.2616243437616657,qing-yao/baseline_nb50k_410M_ep10_lr1e-4_seed42
lmer,item_logodds_singleprompt,0.018146974853405298,0.007205088720107247,2.5186330881342958,qing-yao/baseline_nb50k_410M_ep1_lr1e-4_seed42
lmer,item_logodds_singleprompt,0.01190597353873251,0.00505120139020134,2.3570577807150035,qing-yao/baseline_nb50k_410M_ep5_lr1e-4_seed42
lmer,item_logodds_singleprompt,0.006991982673636655,0.006187229887841941,1.130066734287031,qing-yao/baseline_nb50k_70M_ep10_lr1e-4_seed42
lmer,item_logodds_singleprompt,0.01202621358257088,0.009002713704644963,1.3358431665294364,qing-yao/baseline_nb50k_70M_ep1_lr1e-4_seed42
lmer,item_logodds_singleprompt,0.002055981566588905,0.006742884968265846,0.3049112622067566,qing-yao/baseline_nb50k_70M_ep5_lr1e-4_seed42
