Word1,Word2,Alpha,Nonalpha,OverallFreq,Word1_freq,Word2_freq,Weird?,Form,Percept,Culture,Power,Intense,Icon,Freq,Len,Lapse,*BStress,RelFreq,GenPref,Attested,AandB,BandA,alpha_prob,nonalpha_prob
kiwis,wolverines,kiwis and wolverines,wolverines and kiwis,0,1308423.0,1749798.0,no,0,0,0,-1,-1,0,-0.290677758,1,-1,-1,0.0,,0,This next phrase must be formed compositionally: kiwis and wolverines,This next phrase must be formed compositionally: wolverines and kiwis,-64.15234375,-63.41015625
kiwis,narwhals,kiwis and narwhals,narwhals and kiwis,0,1308423.0,86641.0,no,0,1,0,-1,-1,0,2.71480473,0,-1,-1,0.0,,0,This next phrase must be formed compositionally: kiwis and narwhals,This next phrase must be formed compositionally: narwhals and kiwis,-62.685546875,-61.720703125
kiwis,ocelots,kiwis and ocelots,ocelots and kiwis,0,1308423.0,84729.0,no,0,0,0,-1,0,0,2.737119946,0,-1,-1,0.0,,0,This next phrase must be formed compositionally: kiwis and ocelots,This next phrase must be formed compositionally: ocelots and kiwis,-63.158203125,-61.640625
ibex,kiwis,ibex and kiwis,kiwis and ibex,0,405760.0,1308423.0,no,0,0,0,1,0,0,-1.170816022,0,1,0,0.0,,0,This next phrase must be formed compositionally: ibex and kiwis,This next phrase must be formed compositionally: kiwis and ibex,-61.189453125,-62.564453125
harpies,kiwis,harpies and kiwis,kiwis and harpies,0,186488.0,1308423.0,no,0,-1,0,1,1,0,-1.94821098,0,0,0,0.0,,0,This next phrase must be formed compositionally: harpies and kiwis,This next phrase must be formed compositionally: kiwis and harpies,-64.001953125,-63.892578125
axolotls,wolverines,axolotls and wolverines,wolverines and axolotls,0,118861.0,1749798.0,no,0,-1,0,-1,0,0,-2.689300889,-1,-1,-1,0.0,,0,This next phrase must be formed compositionally: axolotls and wolverines,This next phrase must be formed compositionally: wolverines and axolotls,-61.447265625,-62.60791015625
axolotls,ibex,axolotls and ibex,ibex and axolotls,0,118861.0,405760.0,no,0,-1,0,-1,0,0,-1.227807109,-2,-1,0,0.0,,0,This next phrase must be formed compositionally: axolotls and ibex,This next phrase must be formed compositionally: ibex and axolotls,-61.408203125,-62.859375
axolotls,harpies,axolotls and harpies,harpies and axolotls,0,118861.0,186488.0,no,0,1,0,-1,-1,0,-0.450412151,-2,0,0,0.0,,0,This next phrase must be formed compositionally: axolotls and harpies,This next phrase must be formed compositionally: harpies and axolotls,-62.998046875,-64.303466796875
axolotls,keas,axolotls and keas,keas and axolotls,0,118861.0,41506.0,no,0,0,1,-1,0,0,1.052116748,-3,-1,1,0.0,,0,This next phrase must be formed compositionally: axolotls and keas,This next phrase must be formed compositionally: keas and axolotls,-63.529296875,-63.37548828125
axolotls,bonobos,axolotls and bonobos,bonobos and axolotls,0,118861.0,290761.0,no,0,-1,0,-1,0,0,-0.894546881,-1,0,0,0.0,,0,This next phrase must be formed compositionally: axolotls and bonobos,This next phrase must be formed compositionally: bonobos and axolotls,-62.787109375,-61.340576171875
axolotls,wombats,axolotls and wombats,wombats and axolotls,0,118861.0,228721.0,no,0,-1,0,-1,0,0,-0.654548177,-2,-1,-1,0.0,,0,This next phrase must be formed compositionally: axolotls and wombats,This next phrase must be formed compositionally: wombats and axolotls,-60.544921875,-61.8458251953125
axolotls,lions,axolotls and lions,lions and axolotls,0,118861.0,19766321.0,no,0,-1,-1,-1,-1,0,-5.113780066,-2,0,0,0.0,,0,This next phrase must be formed compositionally: axolotls and lions,This next phrase must be formed compositionally: lions and axolotls,-59.357421875,-59.087890625
ocelots,platypuses,ocelots and platypuses,platypuses and ocelots,0,84729.0,43558.0,no,0,1,-1,1,0,0,0.665364545,1,3,1,0.0,,0,This next phrase must be formed compositionally: ocelots and platypuses,This next phrase must be formed compositionally: platypuses and ocelots,-60.2705078125,-59.541015625
ibex,platypuses,ibex and platypuses,platypuses and ibex,0,405760.0,43558.0,no,0,1,0,1,0,0,2.231668468,2,3,1,0.0,,0,This next phrase must be formed compositionally: ibex and platypuses,This next phrase must be formed compositionally: platypuses and ibex,-63.92578125,-61.361328125
harpies,platypuses,harpies and platypuses,platypuses and harpies,0,186488.0,43558.0,no,0,0,0,1,1,0,1.454273511,2,2,0,0.0,,0,This next phrase must be formed compositionally: harpies and platypuses,This next phrase must be formed compositionally: platypuses and harpies,-64.46484375,-62.001953125
keas,platypuses,keas and platypuses,platypuses and keas,0,41506.0,43558.0,no,0,0,-1,0,0,0,-0.048255388,3,3,1,0.0,,0,This next phrase must be formed compositionally: keas and platypuses,This next phrase must be formed compositionally: platypuses and keas,-62.62109375,-62.720703125
bonobos,platypuses,bonobos and platypuses,platypuses and bonobos,0,290761.0,43558.0,no,0,1,0,1,0,0,1.898408241,1,2,0,0.0,,0,This next phrase must be formed compositionally: bonobos and platypuses,This next phrase must be formed compositionally: platypuses and bonobos,-61.921875,-62.564453125
harpies,wolverines,harpies and wolverines,wolverines and harpies,0,186488.0,1749798.0,no,0,-1,0,0,0,0,-2.238888738,1,-1,1,0.0,,0,This next phrase must be formed compositionally: harpies and wolverines,This next phrase must be formed compositionally: wolverines and harpies,-63.7783203125,-63.251953125
keas,wolverines,keas and wolverines,wolverines and keas,0,41506.0,1749798.0,no,0,-1,-1,-1,0,0,-3.741417637,2,0,0,0.0,,0,This next phrase must be formed compositionally: keas and wolverines,This next phrase must be formed compositionally: wolverines and keas,-63.431640625,-64.439453125
