binom,Alpha Probs,Nonalpha Probs
kiwis and wolverines,-41.448787569999695,-40.64470262918621
kiwis and narwhals,-46.51925051212311,-45.92608976364136
kiwis and ocelots,-51.43304264545441,-47.55070522124879
ibex and kiwis,-46.89296281337738,-46.82567608356476
harpies and kiwis,-44.07561262388481,-43.90416896343231
axolotls and wolverines,-51.33048132061958,-51.467568039894104
axolotls and ibex,-55.51799255609512,-59.7096232175827
axolotls and harpies,-51.701818108558655,-58.14363074302673
axolotls and keas,-59.985246539115906,-60.685636043548584
axolotls and bonobos,-48.38576469384134,-58.61869786119496
axolotls and wombats,-52.37313124537468,-54.44858306646347
axolotls and lions,-49.61464011669159,-57.46011599898338
ocelots and platypuses,-50.334948878735304,-55.15002253651619
ibex and platypuses,-53.31000666320324,-52.01540142297745
harpies and platypuses,-40.846876192837954,-49.045601308345795
keas and platypuses,-57.23424208164215,-58.28019434213638
bonobos and platypuses,-48.968112209797255,-46.136060249758884
harpies and wolverines,-40.09451371431351,-43.20329165458679
keas and wolverines,-49.55816864967346,-49.34561538696289
bonobos and wolverines,-41.01128638720547,-38.25529747130349
capybaras and ibex,-52.65207231044769,-52.63584578037262
capybaras and harpies,-49.282134890556335,-41.19629222154617
capybaras and keas,-52.47456705570221,-56.34165358543396
ibex and narwhals,-52.953686594963074,-51.2924622297287
harpies and narwhals,-46.30125257372856,-44.57427489757538
keas and narwhals,-54.46413832902908,-53.45366871356964
ibex and ocelots,-57.89466416835785,-51.003664284944534
keas and ocelots,-54.845746755599976,-56.52962112426758
bonobos and ocelots,-47.93268851375615,-52.42396867247044
harpies and ibex,-44.077488511800766,-47.57613718509674
ibex and keas,-49.329190611839294,-51.910810351371765
bonobos and ibex,-44.26335204577481,-48.96542542218231
ibex and koalas,-47.557157069444656,-47.58539072424173
ibex and sloths,-50.15132963657379,-44.6241739988327
aardvarks and ibex,-56.62885761260986,-56.20210826396942
harpies and keas,-47.75899600982666,-48.64434504508972
bonobos and harpies,-42.71669397687947,-43.74111221030762
harpies and koalas,-42.47716240095906,-41.00757686048746
harpies and wombats,-40.95772743225098,-38.83020329475403
aardvarks and harpies,-53.21710515022278,-55.05160474777222
bonobos and keas,-49.52400884962117,-52.82484108302742
keas and koalas,-47.68821628019214,-43.67268244177103
keas and sloths,-48.55471920967102,-48.176167249679565
keas and wombats,-48.426533341407776,-47.121039032936096
keas and lions,-44.76811075210571,-47.499685764312744
aardvarks and keas,-56.473403215408325,-59.452908992767334
bonobos and wombats,-45.20067481136357,-37.63300618462381
aardvarks and bonobos,-54.252351799979806,-54.313191989422194
ocarinas and vibraphones,-60.17181873321533,-50.64216661453247
cymbals and ocarinas,-45.96367306262255,-51.68401777744293
clarinets and ocarinas,-48.44503724016249,-50.42077959701419
cellos and ocarinas,-42.086363688111305,-52.61117768287659
didgeridoos and vibraphones,-57.382559358142316,-57.00529670715332
lutes and marimbas,-39.84092032909393,-42.84830331802368
kalimbas and lutes,-48.203606605529785,-50.64081084728241
clarinets and kalimbas,-46.905109748244286,-51.40374618768692
kalimbas and trumpets,-48.11248183250427,-47.864476919174194
