binom,Alpha Probs,Nonalpha Probs
kiwis and wolverines,-87.3354657664895,-81.00540248304605
kiwis and narwhals,-95.17375043779612,-87.95422152429819
kiwis and ocelots,-93.49435333162546,-90.33074859529734
ibex and kiwis,-81.84376922994852,-86.7770968452096
harpies and kiwis,-83.94913548976183,-87.21070317178965
axolotls and wolverines,-86.4997004494071,-82.18035904318094
axolotls and ibex,-85.27036171406507,-82.73467972129583
axolotls and harpies,-86.17165797203779,-88.15085340291262
axolotls and keas,-91.27918951958418,-85.97256080061197
axolotls and bonobos,-86.75176478922367,-84.07710885442793
axolotls and wombats,-87.43577685207129,-82.3558945581317
axolotls and lions,-87.00963442772627,-90.66332567483187
ocelots and platypuses,-91.63587626069784,-89.23472214490175
ibex and platypuses,-80.22139612585306,-84.77591655403376
harpies and platypuses,-76.95770549029112,-81.47185049206018
keas and platypuses,-86.55937338620424,-89.03672752529383
bonobos and platypuses,-78.99443806149065,-83.02940724790096
harpies and wolverines,-82.18341647833586,-78.04709116369486
keas and wolverines,-87.41677597910166,-83.88445667177439
bonobos and wolverines,-79.60848985053599,-81.63403933285736
capybaras and ibex,-88.87131664901972,-83.65787950903177
capybaras and harpies,-86.18803892284632,-91.9515257589519
capybaras and keas,-92.13620541244745,-92.35294339805841
ibex and narwhals,-89.57636610418558,-92.40402034670115
harpies and narwhals,-87.71689120680094,-84.57771924883127
keas and narwhals,-91.11051658540964,-92.73815897852182
ibex and ocelots,-86.21953574568033,-86.60198958963156
keas and ocelots,-87.81199494749308,-95.74980524927378
bonobos and ocelots,-84.88322697021067,-87.05551854062651
harpies and ibex,-82.46531740576029,-82.47235027700663
ibex and keas,-81.9073726311326,-85.37600914388895
bonobos and ibex,-78.55587417818606,-78.78878144174814
ibex and koalas,-82.68648184090853,-83.56327144056559
ibex and sloths,-81.2734569683671,-83.05087510496378
aardvarks and ibex,-82.27191351214424,-82.8235484585166
harpies and keas,-87.00840071588755,-87.53581289201975
bonobos and harpies,-77.22524152137339,-83.04870150797069
harpies and koalas,-81.42105011083186,-82.30594293028116
harpies and wombats,-81.6843075081706,-75.70577422529459
aardvarks and harpies,-77.68638966837898,-87.21077911183238
bonobos and keas,-85.33510861732066,-86.07810101658106
keas and koalas,-85.13621465116739,-86.01569548994303
keas and sloths,-83.97836104780436,-86.33637527376413
keas and wombats,-86.70315054804087,-85.71841172128916
keas and lions,-84.54947952181101,-90.16082040220499
aardvarks and keas,-82.20240472117439,-88.47734201699495
bonobos and wombats,-83.41184292174876,-76.19179879687726
aardvarks and bonobos,-80.31549270870164,-83.91243515349925
ocarinas and vibraphones,-93.46755591779947,-87.39938024431467
cymbals and ocarinas,-77.10827304050326,-86.24843434244394
clarinets and ocarinas,-80.67136129364371,-89.31448868662119
cellos and ocarinas,-78.87082079797983,-84.71130684763193
didgeridoos and vibraphones,-99.36028826981783,-96.12595946341753
lutes and marimbas,-81.84783522039652,-88.24954847246408
kalimbas and lutes,-89.79582456499338,-93.95179430395365
clarinets and kalimbas,-93.39068141207099,-90.42876283079386
kalimbas and trumpets,-86.190170802176,-93.57325796037912
cellos and kalimbas,-93.29718822985888,-88.0643964484334
kalimbas and saxophones,-93.53488368541002,-86.03896117955446
lutes and saxophones,-73.05262945353752,-71.12310332804918
casserole and eagle,-81.77147672325373,-81.17232968658209
kite and linguist,-82.3424577191472,-87.01875633746386
algorithm and perfume,-87.35277719050646,-81.02803535014391
forest and screwdriver,-82.63529077125713,-83.42805402167141
slipper and volcano,-83.79995150119066,-83.34626740962267
harmonica and microscope,-84.528340049088,-85.89616150408983
cookbook and zenith,-86.9256641343236,-91.8096448853612
hammock and hydrogen,-83.11966533213854,-90.0166942551732
neuron and toaster,-88.57260674983263,-83.0412179902196
marshmallow and telescope,-84.36389575153589,-81.33912865817547
casserole and optics,-84.67942092567682,-91.21278614550829
comet and encyclopedia,-81.78459964320064,-84.56219037622213
nimbus and waffle,-86.27358389645815,-88.04847622662783
photon and pumpkin,-83.44157619029284,-89.55686277896166
lantern and syntax,-83.00186461955309,-78.36443252116442
echo and vineyard,-83.45179433375597,-79.69355649501085
nebula and snowman,-91.26746229082346,-83.27146106213331
botany and teapot,-82.69911918789148,-87.8072796240449
chisel and kaleidoscope,-82.01778212189674,-78.88280041018152
lava and teacup,-80.31831935793161,-81.14544919878244
entropy and orchard,-77.7482962468639,-86.45770634524524
axolotl and vineyard,-87.68668138235807,-88.93098628148437
clockwork and meadow,-83.18944505602121,-86.20936254411936
algebra and telescope,-83.41159299761057,-79.85363153368235
arcade and topaz,-81.90713361650705,-72.74797431379557
asteroid and compass,-75.18271497637033,-76.275140799582
bicycle and nebula,-80.3668657913804,-86.32371047884226
bungalow and entropy,-81.84016336407512,-75.38272696081549
carnation and gnome,-80.71986661106348,-85.48574451357126
cinnamon and harmonica,-79.1987322717905,-81.22239873744547
coral and syntax,-82.88706592470407,-79.54900673776865
dandelion and pendulum,-74.25735049694777,-79.388592582196
delirium and telescope,-83.894203402102,-83.33808159269392
anchors and sandstorms,-82.73240587860346,-83.5302609577775
scissors and volcanoes,-86.0822485871613,-83.10177607089281
equations and lanterns,-80.55131099373102,-81.41310543566942
satellites and tulips,-83.81054465202033,-83.01247869664803
compasses and hedgehogs,-80.15576493367553,-80.03846026211977
comets and neckties,-79.33575624972582,-83.11230916529894
castles and headphones,-86.24770540744066,-82.04395789653063
paperclips and pyramids,-80.48421850684099,-80.42737414129078
constellations and kettles,-83.9910678640008,-81.56576357036829
kaleidoscopes and whales,-87.84819484004402,-84.39570932136849
meadows and pianos,-81.12151239812374,-81.10295731574297
magnets and zebras,-80.52545505389571,-78.80621571838856
parrots and submarines,-82.86100925505161,-83.865748250857
crayons and jungles,-81.65286815911531,-88.57107181102037
harbor and teapot,-87.583196349442,-91.66633338481188
notebook and quicksand,-80.21810112148523,-83.34510595351458
glacier and lantern,-84.59917635470629,-76.77960795909166
microscope and puddle,-90.28585446625948,-84.5598706677556
compass and swan,-75.1705405190587,-78.59471959620714
bonsai and cathedral,-80.60089576989412,-83.21884132176638
honeycomb and violin,-75.94951995462179,-75.75024409778416
sailboat and stadium,-83.69291261583567,-81.49012998491526
acorns and skyscrapers,-76.17483750107931,-81.61191473086365
bell and trellis,-75.55532018095255,-75.93677518516779
inkwell and kite,-83.60141757875681,-83.11423257738352
foxglove and trombone,-85.08588329702616,-87.40136865526438
carousel and quill,-76.34169239550829,-80.93166073411703
lighthouse and onion,-83.77817014604807,-85.1709852591157
cactus and chessboard,-84.13714257627726,-87.11580765992403
gallery and raindrop,-82.47161916643381,-80.37453452497721
cricket and plow,-80.50036004930735,-83.21281246095896
fresco and gingerbread,-81.5861504196655,-81.56532328946923
cello and sunflower,-84.40721801668406,-88.33272651582956
archway and quilt,-85.8947720900178,-85.20659736543894
compass and haystack,-80.30110049247742,-78.63821081072092
beacon and millipede,-86.0762429907918,-84.15020636469126
parchment and windmill,-79.04519696068019,-82.79176662117243
candlestick and meadow,-84.25128737628256,-82.5334258448529
men and women,-59.930030070245266,-65.07168949395418
black and white,-59.68575391918421,-62.006033308804035
day and night,-61.32911405712366,-63.88597159087658
boys and girls,-61.65312967449427,-64.82540429383516
left and right,-62.031733617186546,-60.76860133558512
female and male,-64.52790550142527,-59.512582490220666
father and mother,-63.18639410287142,-65.10294426232576
goods and services,-64.21350956708193,-72.78669942170382
north and south,-60.36665282398462,-62.028068251907825
development and research,-70.78910434991121,-66.5958659723401
place and time,-62.68522525578737,-62.93060839921236
death and life,-65.41327298432589,-61.65053714066744
brothers and sisters,-61.94601980596781,-68.25127471238375
husband and wife,-60.85010030865669,-65.97698987275362
gas and oil,-66.99083054810762,-63.721023090183735
pepper and salt,-68.66028631478548,-63.10254777222872
fall and rise,-64.46205700188875,-60.731156177818775
arms and legs,-64.72208631783724,-66.08378327637911
fruits and vegetables,-68.44571416079998,-68.6672121733427
arts and sciences,-64.92267613112926,-70.76449482142925
gentlemen and ladies,-66.10775987803936,-63.992069989442825
feelings and thoughts,-68.21542851626873,-65.44098751246929
diagnosis and treatment,-68.53554026782513,-73.36326949298382
groups and individuals,-65.4258279055357,-65.78952257335186
knowledge and skills,-70.9536701887846,-69.28721348941326
heart and mind,-66.06170742213726,-67.8595973700285
influence and power,-68.60664407908916,-67.63591258227825
Africa and Asia,-68.49270240962505,-65.39126090705395
addresses and names,-72.08341424167156,-65.67140643298626
poetry and prose,-63.63806454837322,-65.37060897052288
forefinger and thumb,-74.10817278921604,-69.7209734681528
minerals and vitamins,-72.84304672922008,-66.18280689239327
fall and winter,-67.93981663882732,-72.49741904437542
light and shadow,-65.78318946063519,-69.14515988528728
honey and milk,-69.17387787997723,-64.66715376079082
nose and throat,-67.35141389071941,-69.61979167163372
anger and fear,-69.50639788806438,-66.54411093890667
head and tail,-65.95200888812542,-67.46580378711224
novels and stories,-69.81299416720867,-73.2471911162138
sunrise and sunset,-66.18160305917263,-69.45536534488201
sympathy and understanding,-69.93667237460613,-70.43384401500225
shoes and socks,-70.24069754779339,-71.35636822879314
equipment and personnel,-72.64680640399456,-69.25630228221416
eyes and face,-69.50413052737713,-68.50893513858318
ink and paper,-65.28169886767864,-65.38471858203411
muscles and nerves,-69.88944809138775,-68.55675522983074
charts and maps,-70.47150914371014,-68.48308865725994
elbows and knees,-71.90649728477001,-72.6022233843396
Christmas and Easter,-69.54804484546185,-73.3739091604948
nature and size,-69.68756453692913,-71.40293662250042
gums and teeth,-74.51300875842571,-70.34620980918407
chairs and sofas,-70.6865998916328,-81.86642567813396
characters and situations,-67.74100367724895,-69.51102916896343
joy and pleasure,-72.49909608066082,-68.72459809482098
Thursday and Tuesday,-73.22361533343792,-68.2067710608244
barley and oats,-70.66176775749773,-68.44678898435086
beauty and dignity,-71.14055220782757,-68.79121081531048
boats and ships,-66.29051165282726,-69.72735135257244
misery and pain,-70.05638925731182,-69.79424802958965
bones and skulls,-70.78885214030743,-68.14127783477306
dairy and poultry,-72.48476027612924,-71.60178708098829
being and existence,-74.04061143100262,-71.27222482860088
radar and radio,-72.71164099872112,-72.998719856143
humility and pride,-72.22223369777203,-67.91085297614336
pitch and volume,-66.10585491359234,-66.42279259860516
skirt and sweater,-72.7439692672342,-75.01112692058086
linen and silk,-71.62102191150188,-72.48993212729692
checks and money,-75.11546079814434,-74.33394353091717
calluses and corns,-86.13974325358868,-82.89491049945354
action and motion,-66.06546656787395,-65.44552366435528
brain and intelligence,-73.24556128680706,-73.73887936770916
conduct and manners,-75.60668580234051,-73.68737499415874
completeness and unity,-68.24915833026171,-67.82266333948064
hostility and indifference,-78.15293793287128,-74.17845925525762
depth and force,-72.87186782062054,-71.60390417277813
hours and miles,-72.27012293040752,-73.49149529635906
movements and speech,-69.09314911067486,-67.67462961375713
schools and synagogues,-76.30630415276391,-77.88750749081373
arrangers and composers,-70.21580184996128,-69.28140951858768
happiness and laughter,-71.46989028155804,-71.48377387225628
diagrams and sketches,-68.89420755533502,-69.36639183945954
pail and shovel,-76.73834221065044,-76.97951070964336
candies and cookies,-74.31362561881542,-74.51651880145073
county and village,-71.26725499331951,-68.50297228991985
charm and variety,-72.17310850322247,-69.78428427875042
bouquets and wreaths,-78.5824463032186,-74.63154139788821
beech and elm,-73.4771966189146,-75.38997523486614
complexity and obscurity,-75.24080336093903,-76.18904013931751
devotion and effort,-73.04532735049725,-70.98281352221966
alibis and excuses,-87.38579241931438,-80.84711347520351
body and mind,-64.31804506480694,-63.20763950049877
man and woman,-61.37000112235546,-65.74734275043011
law and order,-63.36132948100567,-67.14689652621746
cause and effect,-62.059627026319504,-70.81722657382488
radio and television,-63.99806700646877,-67.90251342952251
b and c,-59.2970157712698,-62.05487887561321
feet and hands,-68.80137936770916,-66.50820069015026
money and time,-67.83976046741009,-63.14361135661602
blood and flesh,-65.8383571356535,-63.45226089656353
god and man,-66.43404071033001,-66.73469178378582
file and rank,-70.96526829898357,-65.86777679622173
brother and sister,-61.728052869439125,-67.47173635661602
father and son,-61.674552246928215,-70.43149201571941
men and officers,-70.51008574664593,-66.47471730411053
south and west,-62.61147241294384,-63.60200683772564
error and trial,-77.72447650134563,-65.57910080766305
arts and crafts,-62.71376846730709,-71.59133605659008
pressure and temperature,-64.00449721515179,-63.78194873034954
days and nights,-64.86557138711214,-68.218660838902
land and sea,-62.02730084210634,-64.55681217461824
north and west,-62.43197286874056,-63.399951227009296
spring and summer,-64.81888271123171,-69.8878206089139
magazines and newspapers,-67.80581379681826,-65.76449526101351
hands and knees,-70.53403080254793,-73.37210214883089
moon and sun,-68.74049866944551,-67.10238302499056
fathers and mothers,-65.85355675965548,-69.4363417699933
city and county,-65.2396727874875,-69.53612650185823
ears and eyes,-66.76392329484224,-65.00266087800264
college and school,-70.30630243569613,-68.84910810738802
college and university,-68.50891626626253,-70.48122180253267
dark and light,-65.2314416244626,-64.77514804154634
future and past,-69.40776050835848,-63.21863091737032
evening and morning,-71.45785558968782,-67.21731365472078
ice and snow,-66.13653434067965,-66.01000202447176
husbands and wives,-67.53360525518656,-73.42908347398043
boys and men,-66.14664662629366,-65.39601124078035
bread and butter,-65.35474507510662,-69.9472700804472
head and shoulders,-62.58818952739239,-70.58786790072918
rock and roll,-61.00598780810833,-69.25024048984051
testament and will,-76.01109997928143,-68.05313794314861
engineers and scientists,-69.45885436236858,-66.85224632918835
man and wife,-65.19203488528728,-69.26039235293865
arms and hands,-68.51532904803753,-69.5835382193327
math and science,-64.80136577785015,-67.69059626758099
son and wife,-66.78383176028728,-68.34636323153973
fingers and thumb,-72.71396987140179,-70.11064188182354
flesh and skin,-70.38827173411846,-68.62854044139385
life and religion,-69.13504426181316,-67.35774771869183
colonel and mrs.,-67.78149098157883,-73.90329384803772
conscience and religion,-74.5792714804411,-70.52205912768841
contemporary and friend,-73.00507371127605,-80.18911378085613
pain and pressure,-70.41783086955547,-70.47557370364666
integrity and unity,-73.63157884776592,-70.6162940710783
flowers and hearts,-73.62355916202068,-68.72937171161175
grapefruit and oranges,-73.97700578693184,-76.36599983740598
Kingston and Montreal,-80.05635730922222,-78.07699148356915
folklore and legend,-70.78752391040325,-65.9315260797739
doctors and fathers,-75.84681908786297,-73.04361455142498
contraction and dilation,-75.25207202136517,-72.73306814208627
ships and weapons,-72.59799019992352,-71.7922784537077
funnels and masts,-81.26598344743252,-78.23812347650528
law and sovereignty,-71.80499598329334,-69.98490107802672
assurance and dignity,-74.92581002414227,-72.43236695230007
mr. and mrs.,-60.34652454406023,-69.37891650991514
bride and groom,-65.55103650689125,-71.44142167270184
feet and legs,-69.75826089084148,-66.6827813833952
peace and quiet,-68.17398230731487,-72.72415082156658
daughter and son,-66.75492398440838,-65.15228573977947
ends and odds,-79.58073250949383,-65.02479438483715
city and state,-63.97138874232769,-70.16496197879314
facts and figures,-64.44466845691204,-72.8808957785368
man and nature,-63.46360032260418,-63.79151503741741
prose and verse,-63.51153628528118,-65.03876082599163
body and head,-68.49347369372845,-62.92282335460186
command and control,-66.60387210547924,-70.91364543139935
child and wife,-68.3832847326994,-66.90921323001385
aunt and uncle,-69.73550038039684,-68.60330073535442
cattle and horses,-67.40835683047771,-65.50431101024151
politics and religion,-66.09236447513103,-66.7350513190031
July and June,-70.76230208575726,-67.15654234588146
sailors and soldiers,-70.14168636500835,-68.53335539996624
English and German,-62.36269108951092,-63.20165412127972
food and shelter,-65.43936912715435,-70.85245291888714
sights and sounds,-69.44113020598888,-71.46072819828987
comings and goings,-74.43603364611045,-83.21595971286297
heir and son,-68.5335132330656,-66.38296906650066
coat and hat,-67.99644009768963,-64.77404515445232
crime and punishment,-65.0051736086607,-73.17164056003094
earth and sky,-65.51659552752972,-69.60583464801311
faith and love,-67.24528424441814,-65.46048395335674
mother and son,-65.14309780299664,-67.16364495456219
cents and dollars,-73.63101188838482,-64.48948292434216
turns and twists,-75.93513177335262,-65.73789744079113
fire and police,-71.239362642169,-67.73886768519878
months and years,-67.07686595618725,-64.66628830134869
editor and publisher,-66.23454301059246,-67.36658684909344
aunts and uncles,-71.0990813174285,-68.66916731622769
research and training,-70.3661457747221,-70.45824067294598
eyes and hair,-66.81183974444866,-67.41858641803265
methods and principles,-74.91966740787029,-69.60198585689068
city and country,-64.6550120562315,-69.59243027865887
bread and cheese,-66.69353596866131,-67.06316678225994
location and size,-67.18020789325237,-70.06618897616863
childhood and infancy,-73.15475580096245,-71.72185485064983
morning and night,-68.10908310115337,-68.89384715259075
council and governor,-73.87634579837322,-71.20896165072918
age and day,-71.48703925311565,-72.20518963038921
body and face,-70.16582553088665,-64.98570673167706
hair and skin,-68.0685874670744,-67.88272945582867
nitrogen and oxygen,-66.81415639817715,-67.13369242846966
piano and violin,-62.423641845583916,-63.74385516345501
ceiling and walls,-72.582460090518,-68.84237019717693
color and texture,-65.8010796457529,-70.9526125639677
environment and heredity,-77.26547166705132,-71.63212387263775
everybody and everything,-67.34308497607708,-65.26661984622478
bacon and eggs,-68.24608938395977,-64.2786920517683
paper and pen,-67.66654174029827,-64.97983734309673
concrete and steel,-67.72715584933758,-66.30579201877117
color and light,-66.26037089526653,-69.17403762042522
friends and relations,-67.16282503306866,-74.0018789023161
boots and shoes,-71.88162033259869,-71.01007334887981
hearing and sight,-72.52814595401287,-70.13469211757183
expense and time,-72.08055417239666,-71.59116165339947
flowers and plants,-68.32213465869427,-66.08966033160686
beauty and truth,-66.7027346342802,-66.25691191852093
bone and flesh,-68.75243274867535,-65.54835598170757
doubts and fears,-67.15695576369762,-71.01426975429058
fits and starts,-65.34008102118969,-77.77016751468182
light and sound,-67.24507920444012,-65.88398258388042
beauty and youth,-68.46202675998211,-66.80885283648968
fiction and poetry,-70.2239429205656,-63.81687466800213
needle and thread,-66.42114420235157,-73.75871054828167
back and shoulders,-65.98008315265179,-70.86287419497967
crime and violence,-68.74931065738201,-72.00003449618816
force and violence,-73.07571928203106,-75.27453391253948
eggs and ham,-66.28609149158001,-65.68719629943371
bone and muscle,-68.58009521663189,-70.05141513049603
debate and discussion,-69.48492567241192,-71.94157664477825
errors and omissions,-74.52165527573379,-73.43454961106181
brother and mother,-66.96921698749065,-68.34469167888165
face and figure,-68.59006230533123,-74.41166608035564
chairs and table,-70.6222058981657,-68.83838050067425
ammunition and guns,-72.97078029811382,-68.30723755061626
Concord and Lexington,-74.21393661201,-71.58157888799906
ice and water,-65.77820627391338,-66.09735171496868
fun and games,-68.20287792384624,-74.38105027377605
breakfast and dinner,-65.2523671835661,-70.58809177577496
comfort and ease,-70.63303916156292,-68.91341941058636
father and uncle,-69.82744233310223,-73.60815207660198
health and spirits,-71.50217263400555,-73.17544047534466
names and numbers,-63.58996503055096,-68.55118791759014
rights and wrongs,-69.21942593157291,-76.59829823672771
crannies and nooks,-81.36298730317503,-74.45113547705114
power and resources,-70.44326560199261,-71.18017952144146
flame and smoke,-70.68379609286785,-70.84531323611736
faith and life,-69.5011166781187,-68.85151498019695
wisdom and wit,-73.9096872061491,-69.46286217868328
novelist and poet,-67.99706868827343,-69.36923806369305
Arizona and California,-66.727235481143,-69.36743633449078
crops and livestock,-66.86776721378556,-69.72280637919903
glass and steel,-66.7284766882658,-66.78536956012249
bar and grill,-70.80355362594128,-71.77609364688396
influence and prestige,-73.75005318620242,-75.3691245764494
cotton and tobacco,-69.79176656901836,-72.10340802371502
church and community,-69.51210705935955,-70.0611912459135
courage and hope,-70.80158464610577,-69.40975753962994
teaching and writing,-68.11740939319134,-69.15358178317547
example and precept,-79.92740313708782,-74.13700978457928
gin and tonic,-64.79904106259346,-76.81475131213665
brush and trees,-70.26709739863873,-67.54347769916058
pad and pencil,-75.49187390506268,-72.6658124178648
chair and table,-72.55435483157635,-69.72216908633709
houses and shops,-68.82686917483807,-69.96579544246197
libraries and museums,-73.47070805728436,-72.44705311954021
flames and smoke,-73.1781484335661,-72.001085922122
guidance and information,-71.8795301169157,-73.27706353366375
stress and tension,-64.79957787692547,-68.4420506209135
days and years,-66.7458209246397,-67.56852190196514
actions and feelings,-69.56265465915203,-68.47028796374798
energy and money,-66.21174113452435,-69.24838034808636
anguish and pain,-68.48485395684838,-69.9270572703972
colors and forms,-67.17858044803143,-69.86741940677166
meaning and origin,-71.69703786075115,-67.18721882998943
freedom and security,-68.99477426707745,-69.89203922450542
gratitude and joy,-69.93207447230816,-71.52930657565594
mamma and papa,-73.57908360660076,-68.51241581141949
length and weight,-65.01674620807171,-67.29180447757244
anger and hatred,-70.58233515918255,-70.32585446536541
aircraft and ships,-71.56702892482281,-73.0670301169157
sidewalks and streets,-74.68348424136639,-73.65972790727392
democracy and liberty,-69.51351849734783,-67.4291123598814
iron and wood,-67.12195174396038,-65.36365120112896
horses and wagons,-71.44787430763245,-68.78882353007793
clarity and precision,-69.06413685105508,-68.29675153642893
flowers and herbs,-69.70758979022503,-71.6956397742033
confusion and fear,-69.60680882632732,-67.55853287875652
jaws and teeth,-73.59359852969646,-70.7331849783659
counties and towns,-66.09607975184917,-71.39696066081524
bodies and faces,-69.84150044620037,-68.6673285216093
ability and desire,-73.56910817325115,-69.9927634447813
chest and stomach,-74.15858380496502,-76.49628083407879
Illinois and Missouri,-71.44469229876995,-69.74334923923016
jams and jellies,-70.12639576941729,-75.42758671939373
Tories and Whigs,-71.22129015624523,-70.43048749864101
dogs and men,-69.10598532855511,-68.37185256183147
discussion and thought,-72.52706401050091,-72.09660951793194
distress and pain,-69.0789655894041,-70.17827741801739
mouth and nostrils,-72.29832588331192,-75.08869211375713
cakes and pies,-71.10509948432446,-70.44103448092937
adventure and romance,-70.22028128802776,-70.30400912463665
agreements and contracts,-70.23265878856182,-67.4962827344425
crime and poverty,-69.52196995913982,-70.74162618815899
cousins and uncles,-73.84536742721684,-67.18814532458782
fire and light,-65.63773863017559,-71.68615452945232
child and husband,-70.02238290011883,-69.77715699374676
vinegar and water,-66.27734117209911,-68.69429579377174
fork and spoon,-72.72408406436443,-70.72812955081463
Burma and India,-72.06412594020367,-71.2929935157299
fruit and nuts,-70.1267270296812,-68.19650475680828
ability and strength,-73.12284152209759,-69.42416255176067
agencies and individuals,-70.89857141673565,-68.88063709437847
c. and d.,-63.980889335274696,-64.88219255208969
coffee and sandwiches,-72.03772847354412,-73.00761763751507
coffee and toast,-68.82208459079266,-71.673688814044
artillery and mortar,-71.08625940978527,-72.7022372931242
anger and anxiety,-72.29809682071209,-72.57371132075787
apprehension and fear,-70.7807522341609,-68.32461795862764
figures and words,-68.72859255969524,-64.92449228465557
blood and guts,-66.1586205214262,-77.0381838530302
action and character,-68.50313393771648,-65.91465060412884
diamonds and rubies,-68.02371578291059,-72.21689192950726
