binom,Alpha Probs,Nonalpha Probs
kiwis and wolverines,-44.10781529545784,-36.46140515804291
kiwis and narwhals,-51.64817500114441,-45.03355348110199
kiwis and ocelots,-49.28717613220215,-41.895777106285095
ibex and kiwis,-41.35382288694382,-45.99201584607363
harpies and kiwis,-43.374055206775665,-47.3892388343811
axolotls and wolverines,-43.5230987071991,-39.44582039117813
axolotls and ibex,-43.151028856635094,-43.424480855464935
axolotls and harpies,-44.91189295053482,-44.15739607810974
axolotls and keas,-48.029806196689606,-44.836392521858215
axolotls and bonobos,-40.871708320919424,-38.921420730417594
axolotls and wombats,-44.5970872938633,-38.7620729804039
axolotls and lions,-42.559790670871735,-40.095864683389664
ocelots and platypuses,-46.05628867447376,-47.41803342103958
ibex and platypuses,-42.71349009871483,-44.05088943243027
harpies and platypuses,-40.866859808564186,-39.666309893131256
keas and platypuses,-46.67280130088329,-48.04992777109146
bonobos and platypuses,-38.788718841737136,-40.81099157780409
harpies and wolverines,-40.366463385522366,-35.29267334938049
keas and wolverines,-43.631181478500366,-39.438408732414246
bonobos and wolverines,-35.92692556208931,-34.18110008130316
capybaras and ibex,-44.2940848171711,-42.777476370334625
capybaras and harpies,-43.99977347254753,-47.81949098408222
capybaras and keas,-47.3074856698513,-48.54228401184082
ibex and narwhals,-48.87808817625046,-50.06901836395264
harpies and narwhals,-50.843729972839355,-43.81555503606796
keas and narwhals,-50.637192487716675,-49.305556297302246
ibex and ocelots,-43.05905598402023,-41.168149664998055
keas and ocelots,-44.32835292816162,-47.04003667831421
bonobos and ocelots,-40.649728797143325,-38.08257436313579
harpies and ibex,-42.0258314460516,-43.41054743528366
ibex and keas,-40.44532746076584,-41.32431307435036
bonobos and ibex,-34.60396101302467,-37.36390705034137
ibex and koalas,-40.639944195747375,-38.14970952272415
ibex and sloths,-41.70644682645798,-40.76332813501358
aardvarks and ibex,-40.738888427615166,-42.49723710119724
harpies and keas,-46.706707239151,-43.95369076728821
bonobos and harpies,-36.07627274817787,-38.298250143416226
harpies and koalas,-41.67152709513903,-36.54190754890442
harpies and wombats,-40.380890000611544,-33.76107494533062
aardvarks and harpies,-40.74018828570843,-44.20334334298968
bonobos and keas,-38.67718770331703,-41.20256412215531
keas and koalas,-40.3669308423996,-38.66883051395416
keas and sloths,-41.38619065284729,-43.413636445999146
keas and wombats,-40.734710812568665,-40.54371052980423
keas and lions,-38.85973501205444,-41.00631523132324
aardvarks and keas,-42.31805054843426,-45.01219415664673
bonobos and wombats,-36.95192768401466,-32.36568879755214
aardvarks and bonobos,-37.779136118944734,-40.33477475470863
ocarinas and vibraphones,-46.98284828662872,-48.75148928165436
cymbals and ocarinas,-36.618142172694206,-40.61156737804413
clarinets and ocarinas,-39.53624428808689,-44.80681073665619
cellos and ocarinas,-39.832657903432846,-37.52323520183563
didgeridoos and vibraphones,-59.42249498143792,-54.66185028851032
lutes and marimbas,-36.88554358482361,-39.911221504211426
kalimbas and lutes,-49.396164655685425,-47.28362274169922
clarinets and kalimbas,-45.93961447477341,-52.21355748176575
kalimbas and trumpets,-46.31122940778732,-47.10300540924072
cellos and kalimbas,-46.04376935958862,-48.23048996925354
kalimbas and saxophones,-58.003016233444214,-46.562904715538025
lutes and saxophones,-33.67761329561472,-34.62961608171463
casserole and eagle,-35.62425637245178,-36.55523878335953
kite and linguist,-44.06479454040527,-40.47007751464844
algorithm and perfume,-39.00283336639404,-37.665311336517334
forest and screwdriver,-37.8336336966604,-37.26229453086853
slipper and volcano,-36.93643665313721,-38.756357192993164
harmonica and microscope,-39.14633011817932,-39.879786014556885
cookbook and zenith,-41.52338695526123,-43.03325605392456
hammock and hydrogen,-33.38527488708496,-45.04155397415161
neuron and toaster,-43.54018521308899,-42.20188808441162
marshmallow and telescope,-34.49683756532613,-34.51651108142687
casserole and optics,-38.27716374397278,-40.63896417617798
comet and encyclopedia,-41.55847528227605,-37.71670781262219
nimbus and waffle,-42.49199616909027,-43.60834836959839
photon and pumpkin,-36.84968447685242,-42.62490367889404
lantern and syntax,-36.24596071243286,-40.69540882110596
echo and vineyard,-35.91792440414429,-36.894399642944336
nebula and snowman,-38.81043195724487,-38.8704868555069
botany and teapot,-34.38028967380524,-40.18381595611572
chisel and kaleidoscope,-35.584178044460714,-35.728650068544084
lava and teacup,-38.36699819564819,-34.45742213726044
entropy and orchard,-34.93455025879666,-42.26846776343882
axolotl and vineyard,-42.39450503140688,-43.91614334285259
clockwork and meadow,-37.62417650222778,-38.91058540344238
algebra and telescope,-38.51548767089844,-34.22444152832031
arcade and topaz,-40.60291039943695,-32.7748983502388
asteroid and compass,-30.672780990600586,-34.56869113445282
bicycle and nebula,-34.25043806433678,-35.57900333404541
bungalow and entropy,-35.7407040608814,-32.989629718940705
carnation and gnome,-34.60568654537201,-38.0814425945282
cinnamon and harmonica,-34.474199261981994,-39.06885536434129
coral and syntax,-38.169506788253784,-40.7651481628418
dandelion and pendulum,-38.33549253642559,-41.477431159466505
delirium and telescope,-39.03839546442032,-39.133495022542775
anchors and sandstorms,-34.550435692071915,-40.34228813648224
scissors and volcanoes,-40.8969841375947,-35.53641602396965
equations and lanterns,-34.01681488752365,-35.34836304187775
satellites and tulips,-36.157449361198815,-32.85091473592911
compasses and hedgehogs,-41.577781677246094,-44.295671224594116
comets and neckties,-41.03732919692993,-40.45864963531494
castles and headphones,-42.10566282272339,-33.7789580821991
paperclips and pyramids,-38.10408190567978,-37.54716810211539
constellations and kettles,-36.63963790982962,-33.99785593897104
kaleidoscopes and whales,-47.126209455222124,-39.40972530601721
meadows and pianos,-36.745638355612755,-37.245750457048416
magnets and zebras,-36.10144840108114,-32.960920435376465
parrots and submarines,-33.51312156114727,-38.17252017185092
crayons and jungles,-32.81178386695683,-39.121503829956055
harbor and teapot,-39.7891526222229,-43.65053987503052
notebook and quicksand,-36.587588898837566,-39.067543506622314
glacier and lantern,-36.119858890771866,-32.84317333623767
microscope and puddle,-40.36523747444153,-37.93134766817093
compass and swan,-34.10838866233826,-37.02241325378418
bonsai and cathedral,-38.31167411804199,-39.80320221930742
honeycomb and violin,-35.39021911099553,-33.91840559383854
sailboat and stadium,-40.81200838088989,-35.43595004081726
acorns and skyscrapers,-30.976685665678815,-37.10152511915658
bell and trellis,-37.23813194036484,-37.19789433479309
inkwell and kite,-43.183987617492676,-38.82971382141113
foxglove and trombone,-40.59951573610306,-40.142207980155945
carousel and quill,-33.16990286111832,-37.409402418881655
lighthouse and onion,-35.67120838165283,-38.14924764633179
cactus and chessboard,-36.30604086816311,-38.35987843386829
gallery and raindrop,-40.586909770965576,-43.74987745285034
cricket and plow,-35.026832580566406,-38.453932762145996
fresco and gingerbread,-35.03867557473495,-36.12667337154562
cello and sunflower,-40.46654772758484,-37.07185459136963
archway and quilt,-41.25398254394531,-43.00310277938843
compass and haystack,-35.52142530679703,-36.475391410291195
beacon and millipede,-38.33996760845184,-41.462626457214355
parchment and windmill,-35.318763140589,-40.835930697619915
candlestick and meadow,-36.006386429057784,-36.96303744614056
men and women,-18.35670268535614,-20.044718503952026
black and white,-16.37699469923973,-19.16873550415039
day and night,-20.475857496261597,-21.58038839697838
boys and girls,-19.15429098904133,-21.82718825340271
left and right,-20.09523257613182,-20.878685116767883
female and male,-23.45656132698059,-19.985398452728987
father and mother,-19.17259454727173,-19.387858867645264
goods and services,-17.446991682052612,-28.41439723968506
north and south,-19.532568335533142,-21.161434650421143
development and research,-24.973215103149414,-20.154248476028442
place and time,-22.858365297317505,-20.38591718673706
death and life,-25.778130054473877,-18.8250892162323
brothers and sisters,-19.939038440585136,-22.4456570148468
husband and wife,-18.854392111301422,-21.871708393096924
gas and oil,-20.974082469940186,-17.60483819246292
pepper and salt,-20.701812267303467,-20.40905261039734
fall and rise,-24.840007781982422,-19.191199839115143
arms and legs,-23.822196006774902,-23.11899769306183
fruits and vegetables,-18.600190170109272,-20.50901484489441
arts and sciences,-22.321415185928345,-26.878422498703003
gentlemen and ladies,-19.3288711309433,-16.299736764281988
feelings and thoughts,-25.143367052078247,-21.964917540550232
diagnosis and treatment,-23.76135441660881,-27.001328945159912
groups and individuals,-25.341668128967285,-24.942551612854004
knowledge and skills,-22.789960622787476,-22.151267051696777
heart and mind,-23.410428047180176,-25.50134801864624
influence and power,-28.116272926330566,-24.777318477630615
Africa and Asia,-23.242114782333374,-23.583611488342285
addresses and names,-26.918769598007202,-20.190136432647705
poetry and prose,-25.770448446273804,-27.33236312866211
forefinger and thumb,-32.265839874744415,-26.999567659571767
minerals and vitamins,-25.076940000406466,-21.695777336251922
fall and winter,-25.13515329360962,-27.581711292266846
light and shadow,-24.586851596832275,-27.28485631942749
honey and milk,-26.463196754455566,-22.42398166656494
nose and throat,-24.128715753555298,-30.096935272216797
anger and fear,-26.513996362686157,-25.92006015777588
head and tail,-23.00331211090088,-26.14697003364563
novels and stories,-24.339264154434204,-25.761733531951904
sunrise and sunset,-23.317840218544006,-25.307615995407104
sympathy and understanding,-25.538387298583984,-28.093870162963867
shoes and socks,-21.805828094482422,-21.150264501571655
equipment and personnel,-22.298423767089844,-23.144102573394775
eyes and face,-22.483749389648438,-25.118820905685425
ink and paper,-24.713503122329712,-22.634124040603638
muscles and nerves,-26.58227825164795,-26.527462482452393
charts and maps,-25.156973838806152,-24.220768690109253
elbows and knees,-27.020790047943592,-28.182526556687662
Christmas and Easter,-23.617876291275024,-25.99888777732849
nature and size,-27.04755473136902,-26.958922386169434
gums and teeth,-31.23196792602539,-25.58861330151558
chairs and sofas,-26.248243130743504,-31.59715247154236
characters and situations,-26.22532892227173,-28.80850052833557
joy and pleasure,-29.56863284111023,-26.5517258644104
Thursday and Tuesday,-28.205591678619385,-23.812066197395325
barley and oats,-29.835105791687965,-24.639540042728186
beauty and dignity,-25.444666385650635,-27.917919158935547
boats and ships,-23.574734449386597,-25.051947355270386
misery and pain,-28.0112886428833,-27.68272852897644
bones and skulls,-25.75495719909668,-20.863754749298096
dairy and poultry,-28.925690809555817,-25.717306166887283
being and existence,-33.49714708328247,-31.17537569999695
radar and radio,-26.604835510253906,-27.564675331115723
