WordA,WordB,Alpha,Nonalpha,OverallFreq,Word1_freq,Word2_freq,Weird?,Form,Percept,Culture,Power,Intense,Icon,Freq,Len,Lapse,*BStress,RelFreq,GenPref,Attested,LogCenteredOverallFreq,Estimate,Est.Error,Q2.5,Q97.5,item,predicted_resp_value,predicted_resp,GeneratedSentence
men,women,men and women,women and men,7628255,,,no,0,0,0,1,0,0,0.358413359,1,1,1,0.406428141,0.22889779,1,16.997162205773183,0.9994897777988272,0.0006675570085757,0.9977925747444234,0.9999577683015028,1,1,men and women,"In the carnival of inverted clocks, a chorus of invisible turtles applauded men and women while juggling neon marshmallows."
men,women,men and women,women and men,7628255,,,no,0,0,0,1,0,0,0.358413359,1,1,1,0.406428141,0.22889779,1,16.997162205773183,0.9994897777988272,0.0006675570085757,0.9977925747444234,0.9999577683015028,1,1,men and women,"In the labyrinth of his consciousness, memories drifted like mist, guiding the soul through corridors where the murmurs of men and women become lanterns illuminating the path to inner awakening."
men,women,men and women,women and men,7628255,,,no,0,0,0,1,0,0,0.358413359,1,1,1,0.406428141,0.22889779,1,16.997162205773183,0.9994897777988272,0.0006675570085757,0.9977925747444234,0.9999577683015028,1,1,men and women,"In the flickering neon haze, the gumshoe sensed that men and women were all playing the same crooked game."
men,women,men and women,women and men,7628255,,,no,0,0,0,1,0,0,0.358413359,1,1,1,0.406428141,0.22889779,1,16.997162205773183,0.9994897777988272,0.0006675570085757,0.9977925747444234,0.9999577683015028,1,1,men and women,"In the hushed attic, where only flickering candlelight painted trembling shadows on the wooden floor, men and women whispered stories of forgotten voyages."
men,women,men and women,women and men,7628255,,,no,0,0,0,1,0,0,0.358413359,1,1,1,0.406428141,0.22889779,1,16.997162205773183,0.9994897777988272,0.0006675570085757,0.9977925747444234,0.9999577683015028,1,1,men and women,"Floating amid the violet nebula, men and women drift like silent constellations, pondering the infinity beyond."
men,women,men and women,women and men,7628255,,,no,0,0,0,1,0,0,0.358413359,1,1,1,0.406428141,0.22889779,1,16.997162205773183,0.9994897777988272,0.0006675570085757,0.9977925747444234,0.9999577683015028,1,1,men and women,"In the soot‑laden sky of the iron metropolis, men and women raced their clockwork contraptions along vapor‑spun rails, chasing the promise of perpetual motion."
men,women,men and women,women and men,7628255,,,no,0,0,0,1,0,0,0.358413359,1,1,1,0.406428141,0.22889779,1,16.997162205773183,0.9994897777988272,0.0006675570085757,0.9977925747444234,0.9999577683015028,1,1,men and women,"Hear, O Muse, the saga of the noble men and women who stride across the ashen plains, bearing the fate of kingdoms upon their shoulders."
men,women,men and women,women and men,7628255,,,no,0,0,0,1,0,0,0.358413359,1,1,1,0.406428141,0.22889779,1,16.997162205773183,0.9994897777988272,0.0006675570085757,0.9977925747444234,0.9999577683015028,1,1,men and women,The eternal philosophical dilemma arises when men and women must each choose between personal freedom and collective responsibility.
men,women,men and women,women and men,7628255,,,no,0,0,0,1,0,0,0.358413359,1,1,1,0.406428141,0.22889779,1,16.997162205773183,0.9994897777988272,0.0006675570085757,0.9977925747444234,0.9999577683015028,1,1,men and women,A recent study in social psychology revealed that men and women exhibit distinct patterns of empathy when confronting moral dilemmas.
men,women,men and women,women and men,7628255,,,no,0,0,0,1,0,0,0.358413359,1,1,1,0.406428141,0.22889779,1,16.997162205773183,0.9994897777988272,0.0006675570085757,0.9977925747444234,0.9999577683015028,1,1,men and women,"The city’s neon pulse drifts through my mind like a restless river, and I picture men and women as flickering constellations of hope and doubt, their whispered dreams colliding in the twilight of the subway."
black,white,black and white,white and black,2268565,,,no,0,-1,0,0,0,0,-0.212280694,0,0,0,0.332201855,-0.082472565,1,4.861344761350802,0.9217517281463764,0.0192589923236909,0.8784269557737162,0.9532033503249788,2,1,black and white,"The photograph was black and white, black and white, a silent echo of contrast that lingered in the gallery."
black,white,black and white,white and black,2268565,,,no,0,-1,0,0,0,0,-0.212280694,0,0,0,0.332201855,-0.082472565,1,4.861344761350802,0.9217517281463764,0.0192589923236909,0.8784269557737162,0.9532033503249788,2,1,black and white,"In the silent gallery, the whisper of black and white hides the key to the forgotten city."
black,white,black and white,white and black,2268565,,,no,0,-1,0,0,0,0,-0.212280694,0,0,0,0.332201855,-0.082472565,1,4.861344761350802,0.9217517281463764,0.0192589923236909,0.8784269557737162,0.9532033503249788,2,1,black and white,"Esteemed colleagues, today we embark on a journey through the realms of black and white."
black,white,black and white,white and black,2268565,,,no,0,-1,0,0,0,0,-0.212280694,0,0,0,0.332201855,-0.082472565,1,4.861344761350802,0.9217517281463764,0.0192589923236909,0.8784269557737162,0.9532033503249788,2,1,black and white,"Sweat dripped down my forehead while I stared at the black and white photograph, its stark contrast tightening the knot of dread in my gut."
black,white,black and white,white and black,2268565,,,no,0,-1,0,0,0,0,-0.212280694,0,0,0,0.332201855,-0.082472565,1,4.861344761350802,0.9217517281463764,0.0192589923236909,0.8784269557737162,0.9532033503249788,2,1,black and white,"The legendary vigilante streaked through the skyline, his aura erupting in black and white, striking fear into the heart of every shadowy foe."
black,white,black and white,white and black,2268565,,,no,0,-1,0,0,0,0,-0.212280694,0,0,0,0.332201855,-0.082472565,1,4.861344761350802,0.9217517281463764,0.0192589923236909,0.8784269557737162,0.9532033503249788,2,1,black and white,"In the gallery of my mind, memories drift like shadows, sometimes rendered black and white, while forgotten moments dissolve into mist."
black,white,black and white,white and black,2268565,,,no,0,-1,0,0,0,0,-0.212280694,0,0,0,0.332201855,-0.082472565,1,4.861344761350802,0.9217517281463764,0.0192589923236909,0.8784269557737162,0.9532033503249788,2,1,black and white,"The botanist marveled at the rare polka‑dot lily, its petals a flawless canvas of black and white, echoing the contrast of night and day in the forest understory."
black,white,black and white,white and black,2268565,,,no,0,-1,0,0,0,0,-0.212280694,0,0,0,0.332201855,-0.082472565,1,4.861344761350802,0.9217517281463764,0.0192589923236909,0.8784269557737162,0.9532033503249788,2,1,black and white,"The therapist explained that the patient's perception had become black and white, erasing the subtle gradients of emotional nuance."
black,white,black and white,white and black,2268565,,,no,0,-1,0,0,0,0,-0.212280694,0,0,0,0.332201855,-0.082472565,1,4.861344761350802,0.9217517281463764,0.0192589923236909,0.8784269557737162,0.9532033503249788,2,1,black and white,"I loathe the way your promises are painted black and white, as if moral ambiguity were a luxury I could never afford."
black,white,black and white,white and black,2268565,,,no,0,-1,0,0,0,0,-0.212280694,0,0,0,0.332201855,-0.082472565,1,4.861344761350802,0.9217517281463764,0.0192589923236909,0.8784269557737162,0.9532033503249788,2,1,black and white,"The wizard's sigil glowed, a swirling vortex of black and white, guiding the knight through the cursed forest."
day,night,day and night,night and day,1876827,,,no,0,1,0,0,0,0,0.8583704,0,0,0,0.197528861,0.107221499,1,3.974341808933193,0.8287552251780391,0.0220035345971349,0.7832750022518573,0.869033433177916,3,1,day and night,"Even now, I watch the sunrise and the moonrise, remembering that love endures both day and night."
