WordA,WordB,Alpha,Nonalpha,OverallFreq,Word1_freq,Word2_freq,Weird?,Form,Percept,Culture,Power,Intense,Icon,Freq,Len,Lapse,*BStress,RelFreq,GenPref,Attested,LogCenteredOverallFreq,Estimate,Est.Error,Q2.5,Q97.5,item,predicted_resp_value,predicted_resp,binom_prob,GeneratedSentence
joy,pleasure,joy and pleasure,pleasure and joy,28376,,,no,0,0,0,0,0,0,-0.245119815,1,1,1,0.158901889,0.106190356,1,-0.2110614309855319,0.6504054070857394,0.0104657290126132,0.6296270981754413,0.6706986645205406,43,1,joy and pleasure,0.0005040499496873,She found joy and pleasure in reading classic novels.
error,trial,error and trial,trial and error,454209,,,no,0,-1,0,0,0,-1,-0.045549711,0,0,0,-0.49951344,-0.3317637,1,0.7531420117155786,0.10671423991231,0.0107275232411474,0.0870981054512844,0.1290189421563151,81,0,trial and error,0.0080682275020282,The researchers used trial and error to develop the new algorithm.
sights,sounds,sights and sounds,sounds and sights,143294,,,no,0,0,1,0,0,0,-1.933125657,0,0,0,0.399430541,0.060756451,1,0.0491446385965019,0.7926102397619015,0.0137171341959609,0.7650311974276389,0.818444760664583,129,1,sights and sounds,0.0025453669823267,The festival offered a variety of sights and sounds.
female,male,female and male,male and female,1742846,,,no,0,0,0,-1,0,0,-0.009936803,-1,0,0,-0.4263520699999999,-0.150667323,1,3.670971845927655,0.0688884976035871,0.0156736939761092,0.0429503136448915,0.1042322018245525,5,1,female and male,0.0309586072248675,The study compared female and male participants.
days,nights,days and nights,nights and days,445957,,,no,0,1,0,0,0,0,2.673166742,0,0,0,0.414446909,0.153089381,1,0.7344572061482093,0.8534433201299028,0.0109184415499903,0.83129590319699,0.8740301508918107,84,1,days and nights,0.007921645172425,The museum is open days and nights.
gas,oil,gas and oil,oil and gas,1040905,,,no,0,-1,0,0,0,0,-0.310324221,0,0,0,-0.414552241,-0.085058577,1,2.0815836849042952,0.1243538501992748,0.0161351598344625,0.095138763357124,0.1584833912382707,12,0,oil and gas,0.0184898545559393,The company announced a new investment in oil and gas.
July,June,July and June,June and July,154093,,,no,0,0,0,0,0,-1,-0.100152406,0,0,0,-0.49857878,-0.282096646,1,0.0735965551406149,0.1427654588164873,0.0119257814107849,0.1205975136613633,0.1671944573961016,125,0,June and July,0.0027371923067795,The conference will be held in June and July.
charts,maps,charts and maps,maps and charts,51057,,,no,0,0,-1,0,0,0,-0.574191021,0,0,0,-0.2598762169999999,-0.118650445,1,-0.1597053869872887,0.3038857364093725,0.01211089602914,0.2807575618185148,0.3279380398954448,38,1,charts and maps,0.0009069381971098,The museum's exhibit features charts and maps that illustrate ancient trade routes.
gratitude,joy,gratitude and joy,joy and gratitude,30564,,,no,0,0,0,0,-1,0,-1.273357813,-2,0,0,-0.219015836,-0.122800781,1,-0.2061071950934568,0.3296353423485272,0.0116094889038634,0.3074036182923828,0.3525776671510836,209,0,joy and gratitude,0.0005429159381958,She expressed joy and gratitude.
men,women,men and women,women and men,7628255,,,no,0,0,0,1,0,0,0.358413359,1,1,1,0.406428141,0.22889779,1,16.997162205773183,0.9994897777988272,0.0006675570085757,0.9977925747444234,0.9999577683015028,1,1,men and women,0.1355025919422208,The survey included men and women from all age groups.
