backend,term,estimate,se,zvalue,model
lmer,item_logodds_pythia_genpref,0.18381719814486375,0.01996326841703211,9.207770706926727,qing-yao/baseline_nb150k_160M_ep10_lr1e-4_seed42
lmer,item_logodds_pythia_genpref,0.28048365599149844,0.017138530821030073,16.365676785277714,qing-yao/baseline_nb150k_160M_ep1_lr1e-4_seed42
lmer,item_logodds_pythia_genpref,0.20167617021621917,0.027197204808688903,7.415327113019648,qing-yao/baseline_nb150k_160M_ep5_lr1e-4_seed42
lmer,item_logodds_pythia_genpref,0.16112958264655688,0.010096504376074967,15.958947438122765,qing-yao/baseline_nb150k_410M_ep10_lr1e-4_seed42
lmer,item_logodds_pythia_genpref,0.311641543691183,0.017782783363034516,17.524902448004823,qing-yao/baseline_nb150k_410M_ep1_lr1e-4_seed42
lmer,item_logodds_pythia_genpref,0.1981666881113567,0.012235912584885544,16.19549720845038,qing-yao/baseline_nb150k_410M_ep5_lr1e-4_seed42
lmer,item_logodds_pythia_genpref,0.22541246164364176,0.01995011076916652,11.298807523015027,qing-yao/baseline_nb150k_70M_ep10_lr1e-4_seed42
lmer,item_logodds_pythia_genpref,0.25253522047428983,0.016546433883231765,15.26221433913988,qing-yao/baseline_nb150k_70M_ep1_lr1e-4_seed42
lmer,item_logodds_pythia_genpref,0.2480198330126739,0.019938245222785672,12.439401273349462,qing-yao/baseline_nb150k_70M_ep5_lr1e-4_seed42
lmer,item_logodds_pythia_genpref,0.1830582437458142,0.015173670846991748,12.064202894061482,qing-yao/baseline_nb300k_160M_ep10_lr1e-4_seed42
lmer,item_logodds_pythia_genpref,0.29051087862203967,0.020000195747300928,14.525401765692457,qing-yao/baseline_nb300k_160M_ep1_lr1e-4_seed42
lmer,item_logodds_pythia_genpref,0.19581662781495912,0.01866218686635286,10.492694624551653,qing-yao/baseline_nb300k_160M_ep5_lr1e-4_seed42
lmer,item_logodds_pythia_genpref,0.12905875313152462,0.00983401951222139,13.123703178657998,qing-yao/baseline_nb300k_410M_ep10_lr1e-4_seed42
lmer,item_logodds_pythia_genpref,0.27670979706788074,0.01695222983865064,16.322914430819573,qing-yao/baseline_nb300k_410M_ep1_lr1e-4_seed42
lmer,item_logodds_pythia_genpref,0.18466409111743565,0.01280086540495872,14.425906786419427,qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42
lmer,item_logodds_pythia_genpref,0.19727379288804842,0.017021993395150346,11.589347281984773,qing-yao/baseline_nb300k_70M_ep10_lr1e-4_seed42
lmer,item_logodds_pythia_genpref,0.24878476460554713,0.018140043108548935,13.71467328477854,qing-yao/baseline_nb300k_70M_ep1_lr1e-4_seed42
lmer,item_logodds_pythia_genpref,0.23223406924881423,0.02035134043494836,11.411241927338114,qing-yao/baseline_nb300k_70M_ep5_lr1e-4_seed42
lmer,item_logodds_pythia_genpref,0.23429321499352,0.018330746041083097,12.781433688973657,qing-yao/baseline_nb50k_160M_ep10_lr1e-4_seed42
lmer,item_logodds_pythia_genpref,0.3145991831203622,0.01799113275582142,17.486346601414905,qing-yao/baseline_nb50k_160M_ep1_lr1e-4_seed42
lmer,item_logodds_pythia_genpref,0.23549721155201456,0.016128712584260206,14.601116507081484,qing-yao/baseline_nb50k_160M_ep5_lr1e-4_seed42
lmer,item_logodds_pythia_genpref,0.1692140898017238,0.012030349934598486,14.06559998018639,qing-yao/baseline_nb50k_410M_ep10_lr1e-4_seed42
lmer,item_logodds_pythia_genpref,0.32344815279832195,0.018045751128232982,17.9237844132894,qing-yao/baseline_nb50k_410M_ep1_lr1e-4_seed42
