binom,Alpha Probs,Nonalpha Probs
kiwis and wolverines,-31.0888649225235,-26.55727592110634
kiwis and narwhals,-41.06313967704773,-35.933215498924255
kiwis and ocelots,-37.84786260128021,-34.90585249662399
ibex and kiwis,-36.26148194074631,-33.13714982569218
harpies and kiwis,-32.999601572752,-33.51015520095825
axolotls and wolverines,-37.75530982017517,-31.688653230667114
axolotls and ibex,-39.01659515500069,-39.69935171306133
axolotls and harpies,-37.42772591114044,-37.340271420776844
axolotls and keas,-43.66668403148651,-37.286243967711926
axolotls and bonobos,-38.29386617941782,-36.12846134416759
axolotls and wombats,-37.747720282524824,-35.75112026929855
axolotls and lions,-36.61846148967743,-42.340481325984
ocelots and platypuses,-40.13585365563631,-37.86308175325394
ibex and platypuses,-36.96198886632919,-34.272603794932365
harpies and platypuses,-28.920017946511507,-28.59559266269207
keas and platypuses,-38.55007088184357,-37.526918694376945
bonobos and platypuses,-34.01143837347627,-30.55218994617462
harpies and wolverines,-31.23858356848359,-26.925871104002
keas and wolverines,-37.164427042007446,-33.84693178534508
bonobos and wolverines,-32.269324753433466,-28.02667335222941
capybaras and ibex,-38.94008579850197,-39.387814581394196
capybaras and harpies,-35.756910651922226,-41.828667391091585
capybaras and keas,-40.56361570954323,-43.66829535365105
ibex and narwhals,-45.624700248241425,-41.46703064441681
harpies and narwhals,-41.540552616119385,-33.20995332300663
keas and narwhals,-41.0696280002594,-42.421607971191406
ibex and ocelots,-38.369883716106415,-37.501118928194046
keas and ocelots,-38.12869310379028,-46.81198835372925
bonobos and ocelots,-34.72039336338639,-33.86119490735291
harpies and ibex,-35.72244328260422,-38.63666886091232
ibex and keas,-36.225979030132294,-38.0180549621582
bonobos and ibex,-31.4139293320477,-34.97592029720545
ibex and koalas,-38.28634491562843,-32.969922341406345
ibex and sloths,-37.63198608160019,-35.10134530067444
aardvarks and ibex,-33.84533782303333,-37.73193120956421
harpies and keas,-40.767930030822754,-37.56639909744263
bonobos and harpies,-29.80813080444932,-32.71184076741338
harpies and koalas,-33.20187543332577,-31.277927853167057
harpies and wombats,-30.670798463746905,-26.148880444467068
aardvarks and harpies,-29.115669444203377,-36.941776771098375
bonobos and keas,-36.639751855283976,-37.94633119227365
keas and koalas,-36.79582965373993,-35.43297282606363
keas and sloths,-35.79856652021408,-38.052286982536316
keas and wombats,-35.9269557595253,-37.14109814167023
keas and lions,-34.93517303466797,-36.64761257171631
aardvarks and keas,-35.173560097813606,-38.611653953790665
bonobos and wombats,-32.4056732095778,-26.63683870062232
aardvarks and bonobos,-30.768566998420283,-33.11660972610116
ocarinas and vibraphones,-43.45395088195801,-42.36944526433945
cymbals and ocarinas,-31.153610348701477,-37.258774399757385
clarinets and ocarinas,-36.42678593099117,-39.791290283203125
cellos and ocarinas,-31.241149187088013,-37.912543296813965
didgeridoos and vibraphones,-52.341977924108505,-52.05878722667694
lutes and marimbas,-32.70053839683533,-37.61732196807861
kalimbas and lutes,-45.25157952308655,-43.780731439590454
clarinets and kalimbas,-46.494126960635185,-47.404638051986694
kalimbas and trumpets,-42.610620617866516,-45.75656580924988
cellos and kalimbas,-43.96353244781494,-46.08970403671265
kalimbas and saxophones,-54.005075454711914,-40.17572474479675
lutes and saxophones,-24.610607518814504,-26.766714334487915
casserole and eagle,-30.37945556640625,-33.334149703383446
kite and linguist,-35.14537239074707,-35.71727013587952
algorithm and perfume,-35.77244472503662,-29.973846912384033
forest and screwdriver,-32.20815987884998,-31.68202618137002
slipper and volcano,-32.97470998764038,-33.536213397979736
harmonica and microscope,-34.66873049736023,-32.87518382072449
cookbook and zenith,-37.731528759002686,-41.184871673583984
hammock and hydrogen,-32.22717905044556,-34.36979699134827
neuron and toaster,-40.074378490448,-36.78562092781067
marshmallow and telescope,-32.867355240974575,-28.76726754824631
casserole and optics,-33.14329719543457,-38.84783864021301
comet and encyclopedia,-33.18961003050208,-35.09547044709325
nimbus and waffle,-37.73656952381134,-38.892209649086
photon and pumpkin,-33.156067848205566,-42.26679039001465
lantern and syntax,-31.926334738731384,-33.184558153152466
echo and vineyard,-34.23593854904175,-28.726924657821655
nebula and snowman,-40.85309839248657,-32.522181272506714
botany and teapot,-31.486236095428467,-37.76503658294678
chisel and kaleidoscope,-29.15012874081731,-30.148497394751757
lava and teacup,-32.02339267730713,-28.254928588867188
entropy and orchard,-28.7321614343673,-33.745551656000316
axolotl and vineyard,-39.703493013978004,-37.96059999242425
clockwork and meadow,-30.70945942401886,-30.961328864097595
algebra and telescope,-32.15300512313843,-26.87855339050293
arcade and topaz,-31.25474214553833,-26.542945861816406
asteroid and compass,-25.999892830848694,-25.696489810943604
bicycle and nebula,-30.316485546529293,-35.77476263046265
bungalow and entropy,-31.597992065362632,-27.530896121636033
