binom,Alpha Probs,Nonalpha Probs
kiwis and wolverines,-19.23216414451599,-13.77041083574295
kiwis and narwhals,-27.286788821220398,-26.812173634767532
kiwis and ocelots,-23.41241943836212,-15.399905323982239
ibex and kiwis,-17.196400970220566,-20.518277160823345
harpies and kiwis,-18.603444024920464,-20.283451437950134
axolotls and wolverines,-18.590991247445345,-23.523777589201927
axolotls and ibex,-20.845810685306787,-22.99536742269993
axolotls and harpies,-16.618062812834978,-21.37490940093994
axolotls and keas,-23.37488802149892,-20.702303260564804
axolotls and bonobos,-19.78023771214066,-20.252871149452403
axolotls and wombats,-15.813858393579721,-21.535660922527313
axolotls and lions,-14.200723249465227,-26.204141315072775
ocelots and platypuses,-15.088597500696778,-22.75129620730877
ibex and platypuses,-18.389050966128707,-19.962478959467262
harpies and platypuses,-13.982899390161037,-17.36990924179554
keas and platypuses,-21.433520078659058,-24.5092626363039
bonobos and platypuses,-14.654120707185939,-15.739880128472578
harpies and wolverines,-14.20705346763134,-18.975971698760986
keas and wolverines,-17.916293740272522,-21.65331792831421
bonobos and wolverines,-12.817549214931205,-20.907262563039694
capybaras and ibex,-17.41280115582049,-18.865308701992035
capybaras and harpies,-17.485899806022644,-17.76874268054962
capybaras and keas,-18.50136148929596,-21.937260389328003
ibex and narwhals,-28.436947643756866,-30.76290287822485
harpies and narwhals,-24.630871772766113,-28.970695734024048
keas and narwhals,-27.556978702545166,-33.75448703765869
ibex and ocelots,-21.724487364292145,-14.269381902180612
keas and ocelots,-25.829562425613403,-20.148625135421753
bonobos and ocelots,-17.83729659137316,-15.447139501547554
harpies and ibex,-16.715371072292328,-17.2147119641304
ibex and keas,-20.191096127033234,-16.327246502041817
bonobos and ibex,-18.983979393495247,-16.39795213006437
ibex and koalas,-19.047878816723824,-17.132334595546126
ibex and sloths,-19.505537807941437,-18.0752542167902
aardvarks and ibex,-20.527195159345865,-19.869305565953255
harpies and keas,-21.486411571502686,-19.133891582489014
bonobos and harpies,-14.864268646808341,-17.69377961975988
harpies and koalas,-17.605143380525988,-17.714884450659156
harpies and wombats,-16.595680117607117,-15.0757554769516
aardvarks and harpies,-22.180656138807535,-19.989816542714834
bonobos and keas,-19.490215287776664,-19.47484702663496
keas and koalas,-15.141796849668026,-18.07480733655393
keas and sloths,-17.648692846298218,-25.37681782245636
keas and wombats,-16.96217942237854,-22.460424661636353
keas and lions,-15.991576194763184,-21.555578231811523
